axis_lat,axis_lon,r2,rmse
-40.0,40.0,0.00010358835679802336,33.58212205808674
-40.0,42.0,0.00012094426756581456,33.581830602473794
-40.0,44.0,0.00013853428373744592,33.581535212977464
-40.0,46.0,0.00015611918655866752,33.58123990675253
-40.0,48.0,0.00017347340550755153,33.58094847189459
-40.0,50.0,0.0001903866740213811,33.58066443962233
-40.0,52.0,0.00020666529374291365,33.58039106302932
-40.0,54.0,0.0002221330296460211,33.580131302031006
-40.0,56.0,0.00023663166673537628,33.579887813993125
-40.0,58.0,0.0002500212649059197,33.57966294942812
-40.0,60.0,0.00026218015209422685,33.57945875208692
-40.0,62.0,0.00027300469739321986,33.57927696274723
-40.0,64.0,0.0002824089055784018,33.5791190260028
-40.0,66.0,0.0002903238728736435,33.578986099385666
-40.0,68.0,0.000296697141130009,33.57887906419716
-40.0,70.0,0.00030149198415319045,33.57879853748158
-40.0,72.0,0.00030468665604699297,33.57874488464088
-40.0,74.0,0.00030627362731583396,33.578718232257984
-40.0,76.0,0.0003062588303172076,33.57871848076622
-40.0,78.0,0.0003046609315991988,33.57874531666984
-40.0,80.0,0.00030151064481509504,33.578798224085794
-40.0,82.0,0.0002968500943258956,33.57887649543648
-40.0,84.0,0.0002907322363336906,33.57897924117839
-40.0,86.0,0.00028322034143857255,33.57910539850084
-40.0,88.0,0.00027438753986308573,33.579253738973854
-40.0,90.0,0.0002643164282351007,33.57942287516327
-40.0,92.0,0.0002530987347193481,33.57961126626692
-40.0,94.0,0.00024083503741301193,33.57981722285695
-40.0,96.0,0.0002276345292352433,33.580038910841516
-40.0,98.0,0.00021361482100001883,33.5802743547855
-40.0,100.0,0.0001989017729719933,33.58052144075258
-40.0,102.0,0.00018362934388804764,33.58077791885342
-40.0,104.0,0.0001679394452253069,33.5810414057051
-40.0,106.0,0.0001519817873681939,33.58130938702527
-40.0,108.0,0.0001359137032898028,33.581579220602485
-40.0,110.0,0.00011989993443317637,33.58184813989944
-38.0,40.0,0.00014490721793780637,33.58142819152368
-38.0,42.0,0.0001656401406605612,33.581080018688446
-38.0,44.0,0.00018641768544069848,33.580731092882935
-38.0,46.0,0.00020698787142237052,33.58038564576701
-38.0,48.0,0.00022711496587313196,33.58004763630556
-38.0,50.0,0.0002465810151591752,33.579720725037035
-38.0,52.0,0.0002651869415681851,33.57940825562824
-38.0,54.0,0.0002827532390670129,33.57911324316158
-38.0,56.0,0.00029912030899004183,33.578838368467935
-38.0,58.0,0.00031414848172017784,33.578585977732956
-38.0,60.0,0.00032771777289930526,33.57835808656295
-38.0,62.0,0.00033972742297450065,33.5781563876917
-38.0,64.0,0.0003500952673728408,33.577982261534636
-38.0,66.0,0.0003587569816917435,33.577836788845445
-38.0,68.0,0.00036566524241921083,33.577720764795025
-38.0,70.0,0.0003707888392102676,33.577634713867795
-38.0,72.0,0.00037411176991708484,33.57757890505142
-38.0,74.0,0.00037563234469983886,33.5775533668777
-38.0,76.0,0.00037536232076496034,33.57755790195246
-38.0,78.0,0.0003733260847641473,33.57759210068808
-38.0,80.0,0.00036955989570408576,33.57765535402266
-38.0,82.0,0.00036411119742596476,33.577746864973236
-38.0,84.0,0.0003570380063195877,33.57786565892763
-38.0,86.0,0.00034840837693383975,33.578010592629894
