n,spherical_r2,spherical_axis_lat,spherical_axis_lon,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon
81,0.02619046405798564,36.1376391498634,-148.66672499304917,0.022762064498185963,-44.0,24.0
81,0.05266133132102546,45.54614672845956,-146.75905757687522,0.05321825457410745,-52.0,32.0
81,0.013756825958513241,45.78049826425009,-142.3657215333983,0.013294389500289383,-60.0,40.0
81,0.026281264707907925,49.16723628132081,-159.49885759294696,0.026633007391708707,-56.0,16.0
81,0.023186075914989668,72.83342117845004,143.45889860035328,0.027770859855081875,-80.0,-68.0
81,0.047563063476269485,66.52008547008614,-133.04509951812108,0.0512419769739656,-72.0,44.0
81,0.031180255944686985,72.41902646028002,-157.09833154785608,0.034797702220562554,-76.0,16.0
81,0.02566265200200102,39.15910676149574,-139.8978524593779,0.02347661342002938,-28.0,40.0
81,0.05396791467734774,72.56258384858789,-118.26580358203256,0.05482933807288293,-76.0,56.0
81,0.030095795621935206,41.312214198528565,-146.91768189451304,0.03399090034494889,-36.0,24.0
81,0.03609129195671146,65.37658418035188,-140.7785134264958,0.038607106292414706,-68.0,36.0
81,0.01595374521230508,47.80690484115379,-142.4546510642564,0.01567516867295382,-56.0,36.0
81,0.024758856001638185,58.86495597065496,-134.42728250874436,0.024909849945612184,-68.0,40.0
81,0.05316628064237994,27.380731664518276,-164.7389372776135,0.055652402046829086,-32.0,16.0
81,0.02517184820025109,52.097372379424684,132.1382412454672,0.024113452547593894,-60.0,-36.0
81,0.004660144596702054,-28.489564976228994,172.7300146523868,0.007539328855317051,-8.0,168.0
81,0.024683665684857137,39.11885118287773,-136.99233444542526,0.020979596190826788,-52.0,44.0
81,0.013180683134688786,69.13065020444799,-9.026321570034307,0.014969425051256091,-84.0,-132.0
81,0.03336807926110141,54.59338578054733,-117.87794065171694,0.033667620889734406,-60.0,60.0
81,0.011468829156638605,52.60149482679377,142.27002042958355,0.011426974964086734,-60.0,-36.0
81,0.011024705233236842,33.490404497838,-137.0008880743518,0.008241652227392593,-44.0,56.0
81,0.003824020465753031,56.01487666272064,-138.42039713408536,0.004060034755503539,-80.0,-80.0
81,0.03114542330736081,75.77787100027182,-66.3047781108472,0.031694208745587926,-80.0,96.0
81,0.015863703242182114,44.003165220260904,-177.7711169341793,0.01583862934791258,-44.0,-8.0
81,0.03520778996297125,63.94413659381491,-105.22365903746889,0.03675966490926319,-68.0,72.0
81,0.03367404921045969,65.0993711757274,-140.40900385231836,0.034091880298377175,-72.0,36.0
81,0.016744752998731793,30.16483328744187,-162.17721451040117,0.016878036860973,-36.0,12.0
81,0.04448582894392339,76.1290264019616,-154.9293067921608,0.04811157038965874,-80.0,16.0
81,0.007188794118986541,68.91082826340444,162.92961875505375,0.01028473249233608,-80.0,-72.0
81,0.015554683500653588,57.78240146260132,-133.34932693396863,0.014950040242384333,-72.0,32.0
81,0.02982085473398477,75.57401229948113,165.44325592720432,0.03321699140110146,-80.0,-32.0
81,0.0929636008956789,57.03226762828697,-93.26951443733145,0.09424505664536387,-60.0,88.0
81,0.01499798959479448,49.38238281072827,-133.29287515502705,0.013743909779212804,-64.0,48.0
81,0.011410583259647944,67.57533259357871,-127.4652826464399,0.013083334883855047,-72.0,44.0
81,0.0180852279501329,84.51761881651242,164.9223441349527,0.021016070775609963,80.0,100.0
81,0.048448748293646426,53.551807115509064,-125.56330942149347,0.04928063098556745,-56.0,56.0
81,0.05568820135755881,39.47889287704681,-173.84217906755563,0.05779066935530719,-40.0,4.0
81,0.02004720589143505,66.30271225230895,-114.15805894927915,0.019490478768580566,-76.0,60.0
81,0.047240397690467506,50.43222553055752,-141.47120809679177,0.04855693312352849,-56.0,36.0
81,0.030492590260799646,72.50358853783192,-160.25207505122498,0.03275927108706722,-76.0,12.0
81,0.04909912198444044,49.37681599160221,-147.15419664005623,0.05068183116086089,52.0,-152.0
81,0.020812008039998275,57.64834215697865,-126.06886217868465,0.021303887823081458,-60.0,56.0
81,0.03334008992096482,69.32056995069172,-122.86703953422125,0.03479768605113043,-72.0,52.0
81,0.03408639884485565,68.38693471508765,-150.4456432239831,0.037378110712435464,-72.0,24.0
81,0.003978284820440603,79.74329987005883,-76.079127000145,0.006332571203016668,-80.0,-84.0
81,0.042447177984184736,47.67737257454694,-113.68093200904461,0.039961498883582025,-52.0,76.0
81,0.010305971894590038,79.59820256211697,133.04065858967678,0.013978865296102927,-80.0,-80.0
81,0.05543112634815961,31.802078456569934,-144.76713649515156,0.05348632667269293,-40.0,36.0
81,0.004014179942615992,45.35670067273503,-177.93575305749516,0.004764236460514382,0.0,-20.0
81,0.023222992721773528,83.67743700067453,-81.14680609509243,0.02444994988228022,-88.0,-48.0
81,0.02814877380023828,46.12606499890798,-141.40026942101542,0.027279506525589303,-56.0,40.0
81,0.03308050720587541,82.47560798644766,172.5636467511803,0.038634768216855964,-80.0,-76.0
81,0.026337960865950416,49.32076640046218,-145.72516951883358,0.026822452491932935,-56.0,32.0
81,0.010328616824178849,-29.3488040343603,161.586281248026,0.014542044128937559,-8.0,164.0
81,0.05184843809512629,66.47601912698535,-111.81628704550589,0.054096586836842375,-68.0,68.0
81,0.04187805119860799,74.68740950465424,-142.3034125324825,0.044375849900674,-76.0,32.0
81,0.04791837377583108,52.28703238347136,-178.20902190261768,0.051152386741570854,-52.0,4.0
81,0.03141817002169811,67.40117673973552,-141.74995057024353,0.033326851205611296,-72.0,36.0
81,0.03519468582028551,66.91531791828774,-145.9766706583826,0.03784706858891662,-72.0,32.0
81,0.02008063844936747,70.15033170549485,-129.59063420265207,0.022261131955841007,-76.0,44.0
81,0.0574663835160073,67.22459289935517,-136.17959276095922,0.05909427211959484,-72.0,40.0
81,0.032559751526018976,87.30724862302111,53.411093444317835,0.037989452273648916,-80.0,-84.0
81,0.021665690361900802,76.12923457413787,169.48660359385758,0.02516309719561738,-80.0,-44.0
81,0.026834054653833928,59.71074887152155,-123.1190275354447,0.02752279061919627,-72.0,48.0
81,0.017323988357189735,27.087370049161066,-148.60682094552192,0.015693895386617807,-36.0,28.0
81,0.031242140172385136,69.88543742549808,-108.10445760124514,0.031893416179367806,76.0,-104.0
81,0.035721683807229954,31.694101150596474,-164.48285540488004,0.040363385630656334,32.0,-164.0
81,0.030970364744918766,57.36723990658935,-173.85017354008065,0.03591037031813982,-56.0,12.0
81,0.041557812243050773,81.9929898891405,-151.95336221389573,0.044633210331897044,-84.0,0.0
81,0.032398865667413235,59.36460388597568,-150.3391676250261,0.03342849394418734,-68.0,28.0
81,0.04750525715498899,37.913223631459616,-124.75275418172079,0.042610875578016905,-48.0,56.0
81,0.04133489048334116,59.78195837895159,-153.4521110662552,0.043583761384226705,64.0,-160.0
81,0.04156422209884014,71.95149450624187,-116.50351223619693,0.04375577099062222,-76.0,60.0
81,0.02872300431448993,39.38596927110025,-113.91120630584649,0.027142177953752733,-44.0,84.0
81,0.019862419194916048,63.80407242443853,154.5101639607899,0.020833483621312876,-72.0,-20.0
81,0.015155960102548383,39.47902600421765,-149.97270748916907,0.013068788652168317,-52.0,24.0
81,0.0248716083388556,34.87424726714725,-137.1537316193451,0.0228055397350162,-44.0,32.0
81,0.024538231436086022,48.68358299345359,-156.84592597107354,0.025035567711650164,-56.0,24.0
81,0.02358565443113836,46.064485407187114,-143.15242203678503,0.021113790237158314,-56.0,28.0
81,0.004925368181510459,52.97379605491365,-178.24810344988174,0.005074618630467653,-68.0,-20.0
81,0.04341935570244315,56.28313136182222,3.3757242000379315,0.04284054409731186,-40.0,-164.0
81,0.00894052299229453,-56.951547285811,90.89031751526036,0.008857030376896224,36.0,-152.0
81,0.024700001955117457,24.732468713611713,-137.2741485460689,0.021607012913194223,-40.0,40.0
81,0.013942311682975439,54.27347201187426,-126.68729511358498,0.014200515955178017,-64.0,48.0
81,0.014814283516997429,59.45989212865664,-159.33417794672582,0.015859711598724235,-68.0,8.0
81,0.025150784960166095,0.8073572322272722,-159.49634537888625,0.026476549011689055,-8.0,-172.0
81,0.01132767943542945,47.32369224185514,-164.84394684731245,0.011158615777383418,-56.0,0.0
81,0.02187082441734134,64.81456789343326,-139.72466671183747,0.025255713065626795,-68.0,36.0
81,0.06966969931106737,31.048993561787523,-154.66257485057608,0.06993888711568841,36.0,-156.0
81,0.007035765547280248,29.040840690409393,-122.4471819758061,0.0069481857246384005,-40.0,76.0
81,0.08493219192242574,60.432534913539186,-136.31193726332367,0.08599773093102381,-64.0,40.0
81,0.025478059192333813,22.96953361195428,-143.11882957311124,0.021623039833031488,-28.0,32.0
81,0.03191234953730315,62.49268185002442,-140.11594286781983,0.03256412543038889,-68.0,40.0
81,0.014204972550774131,28.00454084622887,-147.88177342556853,0.012283946333917828,-40.0,28.0
81,0.06959590265639803,64.88113921552586,-130.767538756182,0.07142252299510521,-68.0,48.0
81,0.019038276161094436,45.08674849933726,-175.21290417246053,0.01859051773440845,-52.0,0.0
81,0.009401238667636203,40.55953291151945,-147.82024894352497,0.007163671443685571,-64.0,32.0
81,0.025147203333723,54.09894921322904,-149.67669053590234,0.02504703553300658,-60.0,28.0
81,0.03270923638607415,15.17845961365688,-61.96881028132673,0.0397307636818397,-16.0,128.0
81,0.022008256109711244,42.37224769346856,-164.90690471770398,0.02154027410769488,-48.0,12.0
81,0.03311294049367297,39.96354236765514,-161.2042259070212,0.0331834850980216,-44.0,12.0
81,0.03382515806335551,46.2681039204331,-145.2616001681954,0.03233581331519053,-52.0,32.0
81,0.08661035692351882,55.75116314543811,-149.25818135315617,0.0930489401946425,-56.0,28.0
81,0.04227436474059254,84.20149528760955,-22.898303964710333,0.04351933445908174,-88.0,-88.0
