mode,spherical_r2,spherical_axis_lat,spherical_axis_lon,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon
global,0.000873347561925919,-33.16982013841712,-174.39342918762978,0.0008377858374470915,-36.0,172.0
global,0.00036208791428749,7.730457835604089,59.54718309215967,0.00033888352252375853,-16.0,28.0
global,0.0018598396494391434,22.46881488814738,-13.176506751814658,0.0018960422373649477,-20.0,160.0
global,0.00044146593167337933,-4.019058714428885,44.77412349689336,0.0005126620549290584,-4.0,-132.0
global,0.00025538457184126617,4.576913171084246,175.59263392153434,0.0004927764085793651,-20.0,16.0
global,0.0009358058107663547,-58.99534896800992,170.76176206000875,0.0010282994723496142,-52.0,-180.0
global,0.0015387879093834433,82.63033130235021,67.68098684973765,0.0015538065637231702,-80.0,-72.0
global,0.00040940803977729257,-20.950142648385388,77.11260097894207,0.0004338568505778406,-28.0,76.0
global,0.00021885673170685127,-44.29521089276077,10.514312431265166,0.00026568670064186506,-36.0,8.0
global,0.0010530728012964063,0.28816528623590815,174.6991444062654,0.001030164252708965,-8.0,168.0
global,0.001512559405587588,27.02041054481995,133.59963457084461,0.0015025368799970185,-16.0,-48.0
global,0.0002985367181405074,27.892733057645753,-162.44593879345584,0.00030344447176033906,-28.0,24.0
global,0.0008487723273161718,14.358097991742417,45.747902957650524,0.0009808288880304161,-16.0,-128.0
global,0.0010679345557447206,-45.48046851176929,134.27636523071973,0.0010348546765927003,-48.0,132.0
global,0.0006868055878760382,43.57202441348309,156.59833736698522,0.000724235755102165,-40.0,-16.0
global,0.0001368593285037134,12.889431263616766,139.38347528216602,0.00014843896041039084,-32.0,-44.0
global,0.0008487404844075286,-24.692095129298334,-21.68906413629096,0.000831109362564586,-24.0,-24.0
global,0.001202699933802398,18.4847532249386,-35.12728584004031,0.0012692698437781758,-20.0,140.0
global,0.00043133258963301557,-42.07537732578681,-5.542550816468339,0.0004555035604296709,-36.0,-12.0
global,0.00010382758627935917,-42.693749206781995,-62.13998592293336,0.00012884354413755794,-8.0,120.0
global,0.0032049307044186293,4.787719673582014,64.38835572329998,0.003193618342011373,-8.0,-116.0
global,0.00213564405119937,59.23331059471725,-61.580474698920916,0.0023064704126131153,-56.0,128.0
global,0.00027269300305521327,-44.49712282258619,-19.557855199837334,0.0002995725444200348,-44.0,-60.0
global,0.0005039056296870514,35.92418651980605,150.39454367850124,0.0004919743948758049,-36.0,-36.0
global,0.00038582509185824954,10.506408437182355,70.55594369568453,0.000391775172089992,-16.0,-112.0
global,0.00013001555856928526,-30.025520892319626,156.08891453420446,0.0002460180438584869,-40.0,172.0
global,0.0009810400389289597,-10.856707095901665,109.312848022674,0.0011078719686161698,-8.0,96.0
global,0.00024252810372382694,7.225601472068105,148.27989448552026,0.0002767106191841062,-36.0,-48.0
global,0.00014876968606891694,-36.0187757838888,-155.2834582972513,0.00027437291797804964,-40.0,-164.0
global,0.0010126362223368268,-27.293071281768306,16.530595974483564,0.001074912379497306,-24.0,20.0
global,0.0012773790477836888,31.256196697944684,-78.88816183513657,0.0012050115709184572,-28.0,88.0
global,0.0013489795661332238,-49.872005479802446,74.63596759324714,0.001526018244444427,-44.0,72.0
global,0.0005082375619559487,-4.371697749910196,112.0825378734816,0.0005198580193022106,-32.0,-72.0
global,0.00047621339748327163,-10.65409031985779,22.41352974851224,0.0004058749872128953,-28.0,48.0
global,0.0006372450777424321,-27.90125087586374,152.85300866902793,0.0007372188003385016,-24.0,156.0
global,0.00027248869563722966,3.825947885546412,-136.6062342030701,0.00029295998090816955,-12.0,48.0
global,0.0018592901690781538,4.110217322173362,13.842596336367135,0.0018553805799635947,-4.0,-168.0
global,0.0004566068546636437,-23.24145862329617,89.48768195940491,0.0006157953022263296,24.0,-76.0
global,0.0010419682557323284,21.153588017080693,-36.82654563446238,0.0010969775029622264,-8.0,148.0
global,0.0015456312078723222,-6.037172098410655,-178.83781763997794,0.0014412580422495935,0.0,-180.0
global,0.001574369408982479,-62.84119719772423,119.74128620148745,0.0016470887831071535,-56.0,132.0
global,0.0017923883274950647,9.469461111076342,-154.99467786297345,0.0021799937253529356,-20.0,32.0
global,0.00015423916846601937,-10.706340848796104,149.62939972078766,0.00024111251804526113,-12.0,128.0
global,0.0004167822212494121,-61.16617335567513,-175.7276141550537,0.00044266944964699295,-72.0,-160.0
global,0.0005773801160624537,7.6327334031679985,9.591034865875196,0.00060941783376256,-4.0,-168.0
global,0.0019121352705717687,-16.107685031500903,-151.95097776322652,0.001945598417555927,-28.0,-160.0
global,0.0010956747442896209,-1.8155366905464676,-144.53743794617878,0.0010069412292369462,-12.0,-140.0
global,0.00040360691647767233,13.846673677251331,-127.51916552808204,0.0004055274688192778,-24.0,68.0
global,0.0003354382592691829,-22.253170594317655,51.67324141633113,0.0004171054381834072,-28.0,68.0
global,0.0005868777179972584,-9.107636883250219,69.49964960227572,0.0006229112749082111,-8.0,64.0
global,0.000682003780781204,77.4352343561613,19.2930957053133,0.0007353779461157783,-80.0,-164.0
global,0.0001601434499383103,46.47206825776609,-117.81237709903748,0.00014916271473186526,-24.0,52.0
global,0.00030825626973263187,42.96011804033303,13.63798714851578,0.00044179290552015527,-40.0,-176.0
global,0.0018076616511704113,68.9452915168868,134.33750764832413,0.0018335088024589163,-68.0,-40.0
global,0.0015865111692598965,63.613293065511904,-26.209834249401435,0.001695116433879429,-60.0,156.0
global,0.0026149041819373275,43.49487546976607,68.62941214607216,0.0026894223674963635,-44.0,-116.0
global,0.0001047934205378187,33.54078125242246,-167.23547574455483,0.0001432200722333299,-48.0,28.0
