offset_deg,orientation_azimuth_deg,candidate_pole_lat,candidate_pole_lon,px,py,pz,preference_raw,preference_norm,hit_count_within_sigma,hit_fraction_within_sigma,mae_m,rmse_m,preference_0_1
0.1,103.0,89.8999999999998,103.0,-0.00039261345608507963,0.0017005957129518439,0.9999984769132877,2218.2089167415133,0.6964549189141329,2258.0,0.7089481946624804,24.832597557892402,38.30095517851968,1.0
0.1,102.5,89.8999999999998,102.5,-0.00037775819771024977,0.001703957114739677,0.9999984769132877,2218.204977388589,0.6964536820686308,2258.0,0.7089481946624804,24.82259199307781,38.29585967557647,0.9999982240839018
0.1,103.5,89.8999999999998,103.5,-0.00040743881542516336,0.0016971048042163457,0.9999984769132877,2218.2038869650137,0.6964533397064407,2258.0,0.7089481946624804,24.842494875263963,38.30618788282108,0.9999977325055086
0.1,102.0,89.8999999999998,102.0,-0.0003628741715861143,0.0017071887535960845,0.9999984769132877,2218.191862479935,0.6964495643579074,2258.0,0.7089481946624804,24.81247894609526,38.29090191748387,0.9999923116973115
0.1,104.0,89.8999999999998,104.0,-0.0004222331467219894,0.0016934846543793978,0.9999984769132877,2218.1900937785185,0.6964490090356417,2257.0,0.7086342229199372,24.852283187946977,38.31155724945874,0.9999915143416598
0.1,101.5,89.8999999999998,101.5,-0.00034796251118888777,0.0017102903834192555,0.9999984769132877,2218.169365044636,0.6964425007989438,2260.0,0.7095761381475667,24.802281482195394,38.28608245211615,0.9999821695348085
0.1,104.5,89.8999999999998,104.5,-0.00043699532332995013,0.0016897355391294264,0.9999984769132877,2218.1677420315054,0.696441991218683,2257.0,0.7086342229199372,24.861961746788072,38.31706274396449,0.9999814378574997
0.1,101.0,89.8999999999998,101.0,-0.0003330243520992429,0.0017132617680080708,0.9999984769132877,2218.137277728996,0.6964324262885389,2261.0,0.7098901098901099,24.79198254279691,38.28140183163242,0.99996770411841
0.1,105.0,89.8999999999998,105.0,-0.0004517242210521434,0.0016858577439760733,0.9999984769132877,2218.1370355400168,0.696432350248043,2257.0,0.7086342229199372,24.871545993011114,38.322703836501034,0.9999675949361875
0.1,105.5,89.8999999999998,105.5,-0.00046641871822598175,0.0016818515642284526,0.9999984769132877,2218.0981769229315,0.6964201497403238,2259.0,0.7092621664050236,24.881157108270767,38.328480001933606,0.9999500769211835
0.1,100.5,89.8999999999998,100.5,-0.00031806083191582947,0.0017161026810800896,0.9999984769132877,2218.095392957429,0.6964192756538238,2263.0,0.7105180533751962,24.78189354190511,38.27686061237866,0.9999488218701008
0.1,106.0,89.8999999999998,106.0,-0.00048107769580861364,0.001677717304972663,0.9999984769132877,2218.051367438138,0.6964054528848158,2259.0,0.7092621664050236,24.890654400095187,38.334390719896106,0.999928974542395
0.1,100.0,89.8999999999998,100.0,-0.0003030730901686427,0.0017188129062887824,0.9999984769132877,2218.0435030921644,0.6964029837024064,2263.0,0.7105180533751962,24.772157570827023,38.27245935477959,0.9999254291838336
