regime_a,regime_b,best_pole_angular_separation_deg,offset_difference_deg,azimuth_difference_deg_raw,mae_difference_m
shallow,deep,23.00055005558107,22.999999999999996,6.0,2878.9704738263154
shallow,high,4.442221998944149,4.25,203.0,106.67577715873256
shallow,full,0.0,0.0,0.0,9.116832127583539
deep,high,27.287940945190762,18.75,197.0,2772.2946966675827
deep,full,23.00055005558107,22.999999999999996,6.0,2869.8536416987317
high,full,4.442221998944149,4.25,203.0,97.55894503114902
