regime,z_min_m,z_max_m,n_records,weight_total,z_mean,z_median,best_offset_deg,best_azimuth_deg,best_pole_lat,best_pole_lon,preference_norm,preference_0_1,hit_fraction_within_sigma,mae_m,rmse_m,top_10pct_centroid_lat,top_10pct_centroid_lon,top_5pct_centroid_lat,top_5pct_centroid_lon,top_1pct_centroid_lat,top_1pct_centroid_lon
shallow,-200.0,200.0,3185,3185.0,20.073469387755104,14.24,0.1,103.0,89.8999999999998,103.0,0.6964549189141329,1.0,0.7089481946624804,24.832597557892402,38.30095517851968,89.82247088453659,119.2935780404012,89.71365153014051,41.1112404453697,89.9459807680954,119.65341131791581
deep,-4000.0,-1000.0,10,10.0,-2486.32,-2417.3,23.099999999999998,109.0,66.9,109.0,0.28979804600094033,1.0,0.3,2903.8030713842077,4192.604572624692,70.45987865433453,118.77753168241918,70.38745157372502,118.72225678929988,62.98625106259026,115.27553228770068
high,200.0,2000.0,16,16.0,261.503125,226.5,4.35,306.0,85.65,-54.000000000000014,0.6968644051002686,1.0,0.6875,131.50837471662496,312.46794101895824,87.76820491391724,141.5961539610904,87.56323579529578,144.4475401149383,88.75902255175195,135.87948281315096
full,-4000.0,2000.0,3212,3212.0,13.186441469489415,14.39,0.1,103.0,89.8999999999998,103.0,0.6906005344774326,1.0,0.702988792029888,33.94942968547594,157.60168781781763,89.82663114378781,116.41436353506901,89.70976211107032,40.654702535282155,89.94598077382356,119.65333325631173
