offset_deg,orientation_azimuth_deg,candidate_pole_lat,candidate_pole_lon,px,py,pz,preference_raw,preference_norm,hit_count_within_sigma,hit_fraction_within_sigma,mae_m,rmse_m,preference_0_1
4.35,314.0,85.65,-46.0,0.052689077691532804,-0.05456113715524867,0.997119322550888,723.9305826828727,0.22538312038694663,697.62613440981,0.21719369066307906,1373.395455147846,1884.7107257899481,1.0
4.35,314.5,85.65,-45.49999999999997,0.053163201153119614,-0.0540992665274787,0.997119322550888,722.9045643205375,0.22506368752196057,699.354952530465,0.21773192793601023,1374.6926936377847,1886.138029635003,0.9985827116758449
4.35,313.5,85.65,-46.50000000000003,0.05221094175268572,-0.05501885274118222,0.997119322550888,720.9967797286724,0.2244697321695742,695.897316289155,0.21665545339014786,1372.4853437528845,1883.2789552210606,0.9959473974102218
4.35,315.0,85.65,-45.00000000000003,0.053633276031108866,-0.053633276031108894,0.997119322550888,717.6331199954329,0.22342251556520326,699.0668161770225,0.21764222172385503,1376.2408052372632,1887.5608334632075,0.9913010130555592
4.35,313.0,85.65,-47.0,0.05172882974848135,-0.05547237842846535,0.997119322550888,714.4816645894564,0.22244136506521056,694.3125663452213,0.21616206922329426,1371.5511015577983,1881.842752987988,0.986947756705624
4.35,315.5,85.65,-44.5,0.05409926652747873,-0.053163201153119594,0.997119322550888,707.9461939392546,0.22040666062865957,699.0668161770225,0.21764222172385503,1377.781703403437,1888.9791057243735,0.9779199979583951
4.35,312.5,85.65,-47.5,0.05124277839361527,-0.055921679679361146,0.997119322550888,704.8378958945826,0.21943894641798958,723.1742244150425,0.22514764147417263,1370.592951860602,1880.4021559400815,0.9736263569394555
4.35,316.0,85.65,-44.00000000000003,0.05456113715524864,-0.05268907769153283,0.997119322550888,693.8118210796229,0.21600617094633337,698.9227480003012,0.21759736861777743,1379.315631450755,1890.3928165867803,0.958395511498312
4.35,312.0,85.65,-48.00000000000003,0.050752824702780024,-0.056366722277839766,0.997119322550888,692.5821799709918,0.2156233437020522,719.7165881737326,0.22407116692831025,1369.6111639160856,1878.957202739071,0.9566969493183941
4.35,311.5,85.65,-48.5,0.05025900598784617,-0.05680747233218425,0.997119322550888,678.2985347101314,0.21117638066940578,717.9877700530776,0.22353292965537905,1368.6230305744627,1877.507933880968,0.9369662657383119
4.35,316.5,85.65,-43.5,0.055018852741182206,-0.05221094175268575,0.997119322550888,675.3552177521559,0.21026003043342337,698.9227480003012,0.21759736861777743,1380.8520672362629,1891.8019379123295,0.9329005209992685
4.1,306.0,85.9,-54.000000000000014,0.04202514335535483,-0.05784264751951969,0.997440782930944,664.4094451449297,0.20685225564910634,780.7534723779638,0.2430739328698517,1346.3063991069241,1855.9565007652052,0.9177806008452373
4.35,311.0,85.65,-49.00000000000003,0.049761359855020636,-0.057243896277571614,0.997119322550888,662.6567972625522,0.2063065993968095,718.2759064065201,0.22362263586753425,1367.6269318413742,1876.0543917172708,0.915359584349592
4.1,306.5,85.9,-53.5,0.04252830908356713,-0.057473711143427156,0.997440782930944,661.6104930391274,0.2059808508839126,780.8975405546851,0.2431187859759293,1347.3667516356777,1857.3784591163026,0.9139142741935445
4.1,305.5,85.9,-54.49999999999997,0.04151877724976911,-0.05820717895405666,0.997440782930944,660.6091616626826,0.20566910388003815,719.5725199970113,0.22402631382223265,1345.244920947736,1854.531494455461,0.912531087185843
4.35,317.0,85.65,-43.0,0.05547237842846537,-0.05172882974848133,0.997119322550888,652.8713242898399,0.2032600636020672,728.9369514838925,0.2269417657172766,1382.3815401348115,1893.2064432309553,0.9018424416748791
4.1,305.0,85.9,-55.0,0.04100924932854928,-0.058567277686558054,0.997440782930944,652.0129352703706,0.20299281919999082,689.1261119832564,0.2145473574045007,1344.182893271489,1853.103506381725,0.9006567077937546
4.1,307.0,85.9,-53.00000000000003,0.04302823611638763,-0.057100397921712565,0.997440782930944,651.3814294785492,0.20279621092109248,780.8975405546851,0.2431187859759293,1348.726015477862,1858.7973051262832,0.8997843785857785
4.35,310.5,85.65,-49.5,0.04925992420198326,-0.05767596087862864,0.997119322550888,646.4400972670779,0.20125781359498066,718.1318382297989,0.22357778276145665,1366.616737757329,1874.5966204758568,0.8929586796449233
4.1,304.5,85.9,-55.50000000000003,0.04049659839421932,-0.05892291629411119,0.997440782930944,640.8644265892057,0.1995219260863031,595.9140016446152,0.1855273977722961,1343.1197216005105,1851.6726045614394,0.8852567385869713
4.6,321.5,85.40000000000006,-38.5,0.06276433235055448,-0.04992500423730757,0.9967788784562471,635.0250853642096,0.19770394936619226,547.4110488151325,0.17042685205950575,1403.2342458784162,1913.3214880108533,0.877190576768865
4.1,307.5,85.9,-52.5,0.04352488638243733,-0.05672273628362301,0.997440782930944,634.1159674357458,0.1974209114058984,781.1856769081276,0.24320849218808452,1350.1748941900619,1860.2129762137747,0.8759347686151403
4.6,321.0,85.40000000000006,-39.00000000000003,0.06232627015536589,-0.05047081842041385,0.9967788784562471,630.9390197936091,0.19643182434421202,546.6907079315263,0.17020258652911774,1402.6498738416067,1911.90878424584,0.8715462986179716
4.6,322.0,85.40000000000006,-38.0,0.0631976147988326,-0.0493753880718361,0.9967788784562471,630.805650289767,0.19639030208274186,546.9788442849688,0.17029229274127294,1404.6869626333641,1914.7288510966127,0.8713620689320977
4.35,310.0,85.65,-50.0,0.04875473721500029,-0.058103633231963235,0.997119322550888,630.5604844989159,0.19631397400339845,718.1318382297989,0.22357778276145665,1365.5840633137811,1873.1346662808821,0.8710234096784129
4.1,304.0,85.9,-56.0,0.03998086348713274,-0.05927406769345915,0.997440782930944,629.2533487898158,0.1959070201711755,596.4902743515001,0.1857068101966065,1342.0560842266393,1850.238858844522,0.8692178004938196
4.35,317.5,85.65,-42.50000000000003,0.05592167967936112,-0.051242778393615296,0.997119322550888,626.8276208235901,0.19515181221157846,728.9369514838925,0.2269417657172766,1383.9035483334835,1894.6063077146114,0.8658670262286463
4.6,320.5,85.40000000000006,-39.5,0.061883461573399044,-0.05101278905529164,0.9967788784562471,619.2999097798037,0.19280819108960262,544.5296852807076,0.16952978993795376,1402.0389049501014,1910.4907437121665,0.8554686382839225
4.1,303.5,85.9,-56.5,0.03946208388249935,-0.0596207051430634,0.997440782930944,618.677245999185,0.19261433561618457,596.6343425282214,0.18575166330268408,1340.991940055163,1848.8023409226766,0.8546085229696735
4.6,322.5,85.40000000000006,-37.50000000000003,0.0636260845040642,-0.048822011779398426,0.9967788784562471,618.073455910052,0.1924263561363798,546.4025715780838,0.17011288031696253,1406.2222819735657,1916.1308711046954,0.8537744787897809
4.35,309.5,85.65,-50.50000000000003,0.048245837366016765,-0.05852688076866985,0.997119322550888,616.025152114504,0.1917886525885753,718.5640427599626,0.22371234207968946,1364.5289880630587,1871.6685771721664,0.8509450586153257
4.1,308.0,85.9,-52.0,0.04401822205987555,-0.056340754989554466,0.997440782930944,611.3006780276907,0.19031777024523366,781.1856769081276,0.24320849218808452,1351.6208694556426,1861.6254115867189,0.8444189161925196
4.1,303.0,85.9,-57.00000000000003,0.038940299087394645,-0.05996280224514005,0.997440782930944,609.8775942021135,0.18987471799567665,596.7784107049426,0.18579651640876169,1339.9271536263304,1847.3631243378366,0.8424531423191419
4.35,309.0,85.65,-51.0,0.04773326340972651,-0.05894567125680986,0.997119322550888,603.8091082469149,0.1879854010731366,718.8521791134051,0.22380204829184464,1363.4515938858651,1870.1984031240281,0.8340704519060516
4.1,302.5,85.9,-57.5,0.03841554883775099,-0.06030033294767029,0.997440782930944,602.9349352958247,0.18771324262011976,505.1510503102352,0.15726994094341068,1338.8620512998484,1845.92128449011,0.8328629149239138
4.6,320.0,85.40000000000006,-40.00000000000003,0.06143594032624177,-0.05155087486877889,0.9967788784562471,601.2464317528998,0.1871875565855852,543.8093443971013,0.16930552440756577,1401.401337695152,1909.0673718680032,0.830530504077742
4.35,318.0,85.65,-42.0,0.05636672227783975,-0.05075282470278005,0.997119322550888,597.8538814115303,0.1861313453958687,728.64881513045,0.22685205950512138,1385.4177417018038,1896.001508150751,0.8258442117418158
4.1,302.0,85.9,-58.00000000000003,0.037887873095331426,-0.06063327154638435,0.997440782930944,597.5137595664721,0.1860254544104832,505.2951184869564,0.15731479404948828,1337.7977539744027,1844.4768986449624,0.8253743851407656
4.6,323.0,85.40000000000006,-37.0,0.06404970883662248,-0.0482649175017416,0.9967788784562471,597.2541429872139,0.185944627331013,547.4110488151325,0.17042685205950575,1407.7589556099208,1917.5275471129125,0.8250157643206639
10.35,232.0,79.65000000000002,-128.0,-0.11061020153699706,-0.14157460189246948,0.9837286289495359,597.2262797338961,0.18593595259461274,617.8603872318163,0.19236002093144963,1195.2340413488928,1580.5678015776145,0.8249772754738268
4.35,308.5,85.65,-51.5,0.04721705438062072,-0.05935997280386627,0.997119322550888,594.6114669730213,0.1851218763925969,717.6996336996351,0.22344322344322384,1362.3519649846085,1868.7241960632853,0.8213653093220661
4.1,301.5,85.9,-58.499999999999986,0.037357312044686855,-0.060961592686718864,0.997440782930944,593.1274170045773,0.18465984340117597,505.5832548403989,0.1574045002616435,1336.7343509133912,1843.0300459396449,0.8193153199944373
4.1,301.0,85.9,-59.0,0.03682390609009532,-0.06128527136574793,0.997440782930944,589.3324948335204,0.18347836078254057,505.4391866636777,0.15735964715556588,1335.671222612365,1841.5808073891858,0.8140732121710698
4.35,308.0,85.65,-52.0,0.04669724959001562,-0.05976975385917214,0.997119322550888,588.5320898295749,0.1832291686891578,718.7081109366839,0.22375719518576703,1361.2575468331852,1867.2460098866713,0.812967574388813
4.1,300.5,85.9,-59.50000000000004,0.03628769585248545,-0.06160428293408691,0.997440782930944,585.8218600631666,0.18238538607196964,505.2951184869564,0.15731479404948828,1334.6092931342382,1840.1292658914624,0.809223804155534
