offset_deg,orientation_azimuth_deg,candidate_pole_lat,candidate_pole_lon,predicted_elevation_m,target_elevation_m,residual_m,abs_residual_m
42.7,126.5,47.300000000000004,126.5,-2799.9927093460988,-2800.0,0.00729065390123651,0.00729065390123651
24.400000000000002,89.25,65.60000000000001,89.25,-2800.0087066733863,-2800.0,-0.008706673386313923,0.008706673386313923
45.0,139.0,45.00000000000001,139.0,-2799.977684119145,-2800.0,0.022315880854876013,0.022315880854876013
36.2,174.25,53.8,174.25,-2800.029027264125,-2800.0,-0.02902726412503398,0.02902726412503398
22.700000000000003,104.0,67.30000000000001,104.0,-2800.0310789743917,-2800.0,-0.03107897439167573,0.03107897439167573
26.6,79.0,63.40000000000001,79.0,-2799.9678932168745,-2800.0,0.03210678312552773,0.03210678312552773
25.900000000000002,149.0,64.1,149.0,-2800.032330329013,-2800.0,-0.032330329012893344,0.032330329012893344
23.400000000000002,134.5,66.60000000000001,134.5,-2800.044505607917,-2800.0,-0.04450560791701719,0.04450560791701719
22.400000000000002,120.5,67.60000000000001,120.5,-2800.0460973968793,-2800.0,-0.04609739687930414,0.04609739687930414
22.400000000000002,110.25,67.60000000000001,110.25,-2799.9512561113484,-2800.0,0.04874388865164292,0.04874388865164292
24.8,87.0,65.2,87.0,-2799.9452239891652,-2800.0,0.05477601083475747,0.05477601083475747
27.3,76.5,62.7,76.5,-2800.061111769129,-2800.0,-0.06111176912918381,0.06111176912918381
24.700000000000003,143.25,65.3,143.25,-2800.0616913422245,-2800.0,-0.06169134222454886,0.06169134222454886
27.6,75.5,62.4,75.5,-2800.072790719917,-2800.0,-0.07279071991706587,0.07279071991706587
34.7,59.0,55.300000000000004,59.0,-2799.9142688835777,-2800.0,0.0857311164222665,0.0857311164222665
35.6,57.5,54.400000000000006,57.5,-2799.913308916313,-2800.0,0.08669108368712841,0.08669108368712841
42.400000000000006,182.5,47.59999999999999,-177.50000000000003,-2800.087688954338,-2800.0,-0.08768895433786383,0.08768895433786383
25.5,147.25,64.50000000000001,147.25,-2799.9113673248953,-2800.0,0.08863267510469086,0.08863267510469086
34.1,170.75,55.900000000000006,170.75,-2799.907173842887,-2800.0,0.09282615711299513,0.09282615711299513
22.5,123.25,67.5,123.25,-2799.90335307692,-2800.0,0.0966469230797884,0.0966469230797884
22.900000000000002,129.5,67.10000000000001,129.5,-2799.9023790460146,-2800.0,0.09762095398536985,0.09762095398536985
43.5,98.75,46.50000000000001,98.75,-2799.901535911968,-2800.0,0.09846408803196027,0.09846408803196027
29.200000000000003,70.75,60.8,70.75,-2800.101373146528,-2800.0,-0.1013731465282035,0.1013731465282035
28.3,157.5,61.7,157.5,-2799.8921494524957,-2800.0,0.107850547504313,0.107850547504313
42.5,106.25,47.5,106.25,-2799.8886397720416,-2800.0,0.11136022795835743,0.11136022795835743
44.7,93.0,45.3,93.0,-2799.884864547663,-2800.0,0.11513545233719924,0.11513545233719924
42.1,113.25,47.900000000000006,113.25,-2799.881435720834,-2800.0,0.11856427916609391,0.11856427916609391
