offset_deg,orientation_azimuth_deg,candidate_pole_lat,candidate_pole_lon,predicted_elevation_m,target_elevation_m,residual_m,abs_residual_m
5.9,72.25,84.10000000000002,72.25,168.00725417424866,168.0,0.007254174248657819,0.007254174248657819
1.7000000000000002,295.25,88.29999999999993,-64.75,168.00889550153198,168.0,0.008895501531981154,0.008895501531981154
33.6,281.25,56.4,-78.75,168.00998352179803,168.0,0.00998352179803419,0.00998352179803419
2.8000000000000003,283.0,87.20000000000006,-77.0,168.0154283949673,168.0,0.015428394967301529,0.015428394967301529
9.1,273.25,80.90000000000003,-86.75000000000001,168.0226186816242,168.0,0.022618681624209103,0.022618681624209103
3.9000000000000004,68.75,86.1,68.75,167.96482512393536,168.0,-0.03517487606464442,0.03517487606464442
1.0,22.0,89.0000000000001,22.0,167.95977379837396,168.0,-0.04022620162604085,0.04022620162604085
0.9,340.75,89.09999999999997,-19.25,168.04336171605655,168.0,0.04336171605655181,0.04336171605655181
9.0,73.75,81.00000000000003,73.75,168.05091350180064,168.0,0.05091350180063614,0.05091350180063614
22.900000000000002,70.5,67.10000000000001,70.5,168.05679912896227,168.0,0.05679912896226824,0.05679912896226824
11.8,273.25,78.20000000000003,-86.75000000000001,167.94032084809984,168.0,-0.0596791519001556,0.0596791519001556
6.5,274.25,83.49999999999999,-85.75000000000003,167.9376327022451,168.0,-0.06236729775488925,0.06236729775488925
16.5,72.75,73.50000000000001,72.75,167.93505848404166,168.0,-0.06494151595833841,0.06494151595833841
18.1,72.25,71.89999999999999,72.25,168.06798159853403,168.0,0.06798159853403263,0.06798159853403263
13.5,73.5,76.49999999999999,73.5,167.91909234026275,168.0,-0.08090765973724956,0.08090765973724956
13.4,273.5,76.60000000000001,-86.50000000000003,168.09197559053064,168.0,0.09197559053063742,0.09197559053063742
1.1,316.75,88.90000000000026,-43.25000000000003,168.0987669864561,168.0,0.0987669864560985,0.0987669864560985
8.0,273.5,82.00000000000003,-86.50000000000003,168.099491574643,168.0,0.09949157464299674,0.09949157464299674
4.4,277.0,85.60000000000001,-82.99999999999999,167.89535330924988,168.0,-0.10464669075011557,0.10464669075011557
11.9,73.75,78.10000000000001,73.75,168.11170081414878,168.0,0.11170081414877586,0.11170081414877586
18.8,275.0,71.20000000000002,-85.00000000000001,168.11342848846732,168.0,0.11342848846732068,0.11342848846732068
1.9000000000000001,55.25,88.1000000000001,55.25,167.88574260070405,168.0,-0.11425739929595125,0.11425739929595125
15.600000000000001,73.0,74.39999999999999,73.0,168.1270631030748,168.0,0.1270631030747893,0.1270631030747893
5.1000000000000005,275.75,84.90000000000005,-84.25000000000001,168.12868300371997,168.0,0.12868300371997066,0.12868300371997066
2.4000000000000004,286.0,87.60000000000005,-73.99999999999999,168.1331402660285,168.0,0.13314026602850504,0.13314026602850504
28.8,68.0,61.199999999999996,68.0,168.13667883825113,168.0,0.1366788382511288,0.1366788382511288
31.5,280.25,58.500000000000014,-79.74999999999999,167.84306952212035,168.0,-0.15693047787965497,0.15693047787965497
1.4000000000000001,44.25,88.60000000000021,44.25,167.82692437145909,168.0,-0.1730756285409143,0.1730756285409143
38.6,283.75,51.4,-76.25,168.17717030979506,168.0,0.1771703097950592,0.1771703097950592
4.0,278.0,86.00000000000006,-82.0,168.1898442148102,168.0,0.18984421481019353,0.18984421481019353
3.4000000000000004,280.0,86.60000000000005,-80.00000000000003,168.1936331759873,168.0,0.19363317598728713,0.19363317598728713
7.300000000000001,73.25,82.70000000000002,73.25,167.79308027775102,168.0,-0.20691972224898336,0.20691972224898336
