offset_deg,orientation_azimuth_deg,candidate_pole_lat,candidate_pole_lon,predicted_elevation_m,target_elevation_m,residual_m,abs_residual_m
5.7,115.5,84.30000000000004,115.5,-933.5097523748839,-2800.0,1866.4902476251161,1866.4902476251161
5.6000000000000005,115.5,84.4,115.5,-918.1569345283558,-2800.0,1881.8430654716442,1881.8430654716442
5.5,115.5,84.50000000000004,115.5,-902.7639728188049,-2800.0,1897.2360271811951,1897.2360271811951
5.4,115.5,84.6,115.5,-887.3310548046135,-2800.0,1912.6689451953866,1912.6689451953866
5.300000000000001,115.5,84.7,115.5,-871.8583685310163,-2800.0,1928.1416314689836,1928.1416314689836
5.2,115.5,84.79999999999998,115.5,-856.3461025278123,-2800.0,1943.6538974721877,1943.6538974721877
5.1000000000000005,115.5,84.90000000000005,115.5,-840.794445807069,-2800.0,1959.205554192931,1959.205554192931
5.0,115.5,85.0,115.5,-825.2035878608124,-2800.0,1974.7964121391876,1974.7964121391876
4.9,115.5,85.10000000000005,115.5,-809.57371865873,-2800.0,1990.4262813412702,1990.4262813412702
4.800000000000001,115.5,85.20000000000002,115.5,-793.9050286458431,-2800.0,2006.0949713541568,2006.0949713541568
4.7,115.5,85.3,115.5,-778.1977087401974,-2800.0,2021.8022912598026,2021.8022912598026
4.6000000000000005,115.5,85.40000000000006,115.5,-762.4519503305263,-2800.0,2037.5480496694736,2037.5480496694736
4.5,115.5,85.5,115.5,-746.6679452739282,-2800.0,2053.332054726072,2053.332054726072
4.4,115.5,85.60000000000001,115.5,-730.8458858935229,-2800.0,2069.154114106477,2069.154114106477
4.3,115.5,85.70000000000007,115.5,-714.9859649761113,-2800.0,2085.014035023889,2085.014035023889
4.2,115.5,85.8,115.5,-699.0883757698258,-2800.0,2100.9116242301743,2100.9116242301743
4.1000000000000005,115.5,85.9,115.5,-683.1533119817718,-2800.0,2116.846688018228,2116.846688018228
4.0,115.5,86.00000000000006,115.5,-667.1809677756742,-2800.0,2132.819032224326,2132.819032224326
3.9000000000000004,115.5,86.1,115.5,-651.1715377695065,-2800.0,2148.8284622304936,2148.8284622304936
3.8000000000000003,115.5,86.19999999999997,115.5,-635.1252170331201,-2800.0,2164.87478296688,2164.87478296688
3.7,115.5,86.30000000000004,115.5,-619.0422010858705,-2800.0,2180.9577989141294,2180.9577989141294
3.6,115.5,86.39999999999999,115.5,-602.9226858942302,-2800.0,2197.07731410577,2197.07731410577
3.5,115.5,86.50000000000006,115.5,-586.7668678694066,-2800.0,2213.2331321305933,2213.2331321305933
3.4000000000000004,115.5,86.60000000000005,115.5,-570.5749438649415,-2800.0,2229.4250561350586,2229.4250561350586
3.3000000000000003,115.5,86.69999999999997,115.5,-554.3471111743216,-2800.0,2245.6528888256785,2245.6528888256785
3.2,115.5,86.80000000000004,115.5,-538.0835675285647,-2800.0,2261.916432471435,2261.916432471435
3.1,115.5,86.89999999999999,115.5,-521.7845110938188,-2800.0,2278.2154889061812,2278.2154889061812
3.0,115.5,87.00000000000009,115.5,-505.45014046894323,-2800.0,2294.549859531057,2294.549859531057
2.9000000000000004,115.5,87.10000000000007,115.5,-489.0806546830893,-2800.0,2310.919345316911,2310.919345316911
2.8000000000000003,115.5,87.20000000000006,115.5,-472.67625319327385,-2800.0,2327.3237468067264,2327.3237468067264
2.7,115.5,87.30000000000005,115.5,-456.2371358819541,-2800.0,2343.762864118046,2343.762864118046
2.6,115.5,87.40000000000008,115.5,-439.7635030545846,-2800.0,2360.2364969454156,2360.2364969454156
2.5,115.5,87.50000000000006,115.5,-423.25555543718514,-2800.0,2376.744444562815,2376.744444562815
2.4000000000000004,115.5,87.60000000000005,115.5,-406.71349417388643,-2800.0,2393.2865058261136,2393.2865058261136
2.3000000000000003,115.5,87.70000000000014,115.5,-390.13752082448366,-2800.0,2409.8624791755165,2409.8624791755165
2.2,115.5,87.79999999999993,115.5,-373.527837361982,-2800.0,2426.472162638018,2426.472162638018
2.1,115.5,87.90000000000015,115.5,-356.88464617013364,-2800.0,2443.1153538298663,2443.1153538298663
2.0,115.5,88.00000000000006,115.5,-340.2081500409694,-2800.0,2459.7918499590305,2459.7918499590305
1.9000000000000001,115.5,88.1000000000001,115.5,-323.49855217233267,-2800.0,2476.501447827667,2476.501447827667
1.8,115.5,88.20000000000009,115.5,-306.75605616539906,-2800.0,2493.243943834601,2493.243943834601
1.7000000000000002,115.5,88.29999999999993,115.5,-289.9808660222016,-2800.0,2510.0191339777984,2510.0191339777984
1.6,115.5,88.39999999999996,115.5,-273.1731861431355,-2800.0,2526.8268138568646,2526.8268138568646
1.5,115.5,88.50000000000021,115.5,-256.3332213244773,-2800.0,2543.666778675523,2543.666778675523
1.4000000000000001,115.5,88.60000000000021,115.5,-239.46117675588368,-2800.0,2560.5388232441164,2560.5388232441164
1.3,115.5,88.70000000000007,115.5,-222.55725801789245,-2800.0,2577.4427419821077,2577.4427419821077
1.2000000000000002,115.5,88.80000000000005,115.5,-205.62167107941985,-2800.0,2594.3783289205803,2594.3783289205803
