latitude,longitude,mach_m
-70,5.0,0.139773
-70,10.0,0.14099
-70,15.0,0.140633
-70,20.0,0.140291
-70,25.0,0.1383
-70,30.0,0.139395
-70,35.0,0.139805
-70,40.0,0.141841
-70,45.0,0.150784
-70,50.0,0.152054
-70,55.0,0.156081
-70,60.0,0.160679
-70,65.0,0.164036
-70,70.0,0.161065
-70,75.0,0.157504
-70,80.0,0.156811
-70,85.0,0.154157
-70,90.0,0.152746
-70,95.0,0.153127
-70,100.0,0.14878
-70,105.0,0.147798
-70,110.0,0.147076
-70,115.0,0.144254
-70,120.0,0.142438
-70,125.0,0.139801
-70,130.0,0.137374
-70,135.0,0.136621
-70,140.0,0.135607
-70,145.0,0.134364
-70,150.0,0.132588
-70,155.0,0.134462
-70,160.0,0.135163
-70,165.0,0.134051
-70,170.0,0.13707
-70,175.0,0.134284
-65,-180.0,0.125773
-65,-175.0,0.125184
-65,-170.0,0.12454
-65,-165.0,0.12603
-65,-160.0,0.132503
-65,-155.0,0.136249
-65,-150.0,0.135939
-65,-145.0,0.137201
-65,-140.0,0.143171
-65,-135.0,0.144546
-65,-130.0,0.151641
-65,-125.0,0.155129
-65,-120.0,0.157932
-65,-115.0,0.157116
-65,-110.0,0.153772
-65,-105.0,0.156008
-65,-100.0,0.158052
-65,-95.0,0.156265
-65,-90.0,0.159977
-65,-85.0,0.159763
-65,-80.0,0.154909
-65,-75.0,0.156409
-65,-70.0,0.155177
-65,-65.0,0.154569
-65,-60.0,0.147038
-65,-55.0,0.140975
-65,-50.0,0.138327
-65,-45.0,0.138345
-65,-40.0,0.138137
-65,-35.0,0.138679
-65,-30.0,0.137287
-65,-25.0,0.139402
-65,-20.0,0.138811
-65,-15.0,0.136273
-65,-10.0,0.132048
-65,-5.0,0.136705
-65,0.0,0.138041
-65,5.0,0.141021
-65,10.0,0.139288
-65,15.0,0.138748
-65,20.0,0.136274
-65,25.0,0.138514
-65,30.0,0.138954
-65,35.0,0.145214
-65,40.0,0.152177
-65,45.0,0.161497
-65,50.0,0.16121
-65,55.0,0.165845
-65,60.0,0.173339
-65,65.0,0.169589
-65,70.0,0.169986
-65,75.0,0.168579
-65,80.0,0.172318
-65,85.0,0.171058
-65,90.0,0.171699
-65,95.0,0.168122
-65,100.0,0.163442
-65,105.0,0.161478
-65,110.0,0.158017
-65,115.0,0.154573
-65,120.0,0.149363
-65,125.0,0.140131
-65,130.0,0.136894
-65,135.0,0.133462
-65,140.0,0.130048
-65,145.0,0.1289
-65,150.0,0.128687
-65,155.0,0.128257
-65,160.0,0.127272
-65,165.0,0.128083
-65,170.0,0.12762
-65,175.0,0.126927
-60,-180.0,0.122451
-60,-175.0,0.123204
-60,-170.0,0.123496
-60,-165.0,0.12877
-60,-160.0,0.133999
-60,-155.0,0.137102
-60,-150.0,0.139238
-60,-145.0,0.144199
-60,-140.0,0.15114
-60,-135.0,0.154933
-60,-130.0,0.158994
-60,-125.0,0.164196
-60,-120.0,0.158591
-60,-115.0,0.163914
-60,-110.0,0.160496
-60,-105.0,0.159047
-60,-100.0,0.154253
-60,-95.0,0.152847
-60,-90.0,0.144034
-60,-85.0,0.144087
-60,-80.0,0.13728
-60,-75.0,0.140477
-60,-70.0,0.138478
-60,-65.0,0.140511
-60,-60.0,0.137943
-60,-55.0,0.137575
-60,-50.0,0.137355
-60,-45.0,0.136054
-60,-40.0,0.135702
-60,-35.0,0.135867
-60,-30.0,0.136014
-60,-25.0,0.136432
-60,-20.0,0.135017
-60,-15.0,0.133589
-60,-10.0,0.13544
-60,-5.0,0.13746
-60,0.0,0.138647
-60,5.0,0.138802
-60,10.0,0.136403
-60,15.0,0.138429
-60,20.0,0.139047
-60,25.0,0.144385
-60,30.0,0.149002
-60,35.0,0.154931
-60,40.0,0.155594
-60,45.0,0.162947
-60,50.0,0.17041
-60,55.0,0.176994
-60,60.0,0.175574
-60,65.0,0.178558
-60,70.0,0.172478
