n,z_min,z_max,z_median,spherical_r2,spherical_axis_lat,spherical_axis_lon,spherical_rmse,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_plane_slope_m_per_degree,best_harmonic_k,best_harmonic_r2,best_harmonic_amplitude_m,best_harmonic_phase_deg,scheme
32,-152.5,120.0,-23.85,0.038997290357329684,-21.216895116747448,-7.038533229926415,53.97925036978639,0.043682724374561,-20.0,-12.0,0.3618757161794114,5,0.16919898152081503,32.932289630547004,-149.61437112083618,one_per_source
32,-152.5,120.0,-15.5,0.04449895163522888,-65.95579315314892,-38.568719124649,50.35011426497147,0.0440407962825462,-64.0,-20.0,0.3863739400641099,5,0.21544647108093262,33.55283772297317,-158.77186105993837,one_per_source
32,-152.5,180.0,-15.0,0.10293691107229719,-54.532161061249035,-28.263786439826536,61.71271967208104,0.10920519861122047,-48.0,-4.0,0.7645931141268887,8,0.2132726935417938,41.83561978044679,-161.7524059351205,one_per_source
32,-152.5,82.0,-23.85,0.08319052595344067,60.95778937645824,-140.0950080198619,50.51980829445,0.08589929922717976,-60.0,48.0,-0.48293424116691436,7,0.2049475797163791,38.41199911744195,-96.72497546192665,one_per_source
32,-152.5,120.0,-14.7,0.02067334521353925,-51.571134269150505,-27.044107716837928,51.816044117574585,0.02363642525921339,-28.0,24.0,0.24389115800688624,5,0.19062897476155127,33.78800612244343,-147.1764151718758,one_per_source
32,-158.0,120.0,-19.5,0.05874976438958268,-14.865536959224189,-62.80814643455417,57.87529573005945,0.06712537408014163,4.0,-44.0,0.35785577024417864,5,0.20038612400470868,38.35599163121086,-125.13979610535424,one_per_source
32,-152.5,120.0,-15.5,0.06104908498437289,-42.97588893903128,-28.607325399052613,54.39380934916815,0.06277487108001867,-36.0,-20.0,0.48067276351333676,7,0.22029607253436823,40.11329048628182,-133.67631817364216,one_per_source
32,-158.0,82.0,-23.85,0.06948404964576571,72.35629896465254,-75.19890678437993,50.96751746012636,0.06924236576183507,-64.0,100.0,-0.34790175711973415,7,0.2227605704606649,38.29583641433461,-99.9327225084545,one_per_source
32,-152.5,180.0,-15.5,0.006299133290463943,72.26615688766374,161.86051409520195,67.87351882551374,0.017575852875924003,-80.0,-80.0,-0.274592839000269,5,0.13180521922836874,36.26999345157067,-160.84065120972983,one_per_source
32,-152.5,120.0,-15.5,0.027824036883144387,-34.02435347711215,-93.72227007902391,51.77639815631515,0.01877904019917087,-24.0,-112.0,0.27066292094421784,5,0.19460117425543255,32.10614667663905,-142.54052222516358,one_per_source
32,-152.5,74.0,-23.85,0.1020880712027733,36.85584460317731,-159.82322979282554,47.0001978947313,0.10275039566486677,-28.0,24.0,-0.4561730594288975,8,0.12761129640934787,28.00168025672235,-105.81600704566256,one_per_source
32,-152.5,120.0,-13.7,0.031753173699788806,-19.100314851683045,-17.823375906474578,54.237021428533225,0.03414722122680203,-24.0,-8.0,0.32331068881093866,5,0.1670225022694961,32.74328687403878,-149.71872447609195,one_per_source
32,-152.5,180.0,-23.5,0.023759499854967947,-19.314788260204562,-27.27268012294701,61.68488310448566,0.029097383616262795,4.0,-36.0,0.23743319525384277,7,0.19183396466015135,42.2904011626204,-113.72813867401021,one_per_source
32,-158.0,180.0,-15.5,0.03602527422978974,-25.142594041542,-27.533067063846037,63.069409163268595,0.04143351516381322,-16.0,-24.0,0.3594268039939712,7,0.21671044006971873,45.00886384662372,-118.20606048929179,one_per_source
32,-152.5,180.0,-15.5,0.14398049745230512,-49.512184494528185,-7.066853850640371,58.730002267216044,0.16146687638170076,-40.0,8.0,0.8117977120300145,5,0.2899750573816591,48.47785782090506,-151.15828822151306,one_per_source
32,-152.5,74.0,-30.85,0.05568322329618847,29.930559104044804,-116.38740591019582,48.29426305317546,0.05524109214938833,-28.0,60.0,-0.35032545751565947,7,0.10496822274016326,25.30596786773761,-105.17882273261188,one_per_source
32,-152.5,120.0,-13.7,0.09690491187734773,-11.946379016097826,-47.811510225819575,55.48854608976723,0.10918410581420346,-4.0,140.0,-0.4375149820811584,7,0.29113730397656,46.86354057233414,-121.28036016035966,one_per_source
32,-152.5,120.0,-15.0,0.019433462769653853,-10.215316048677272,-50.76937106912644,51.70849544716312,0.028214906090889058,-4.0,144.0,-0.19453258686227437,5,0.19674212130119217,33.82727848456312,-160.37763222483744,one_per_source
