n,z_min,z_max,z_median,spherical_r2,spherical_axis_lat,spherical_axis_lon,spherical_rmse,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_plane_slope_m_per_degree,best_harmonic_k,best_harmonic_r2,best_harmonic_amplitude_m,best_harmonic_phase_deg,scheme
3176,-158.0,199.0,15.06,0.0029332690712037257,-30.307986604728903,-124.46415264449129,33.575537223117585,0.005167878077766308,-32.0,-76.0,0.052358662756818275,8,0.045417670799031806,11.035479958433225,-129.35942417582356,ordinary
3176,-158.0,199.0,14.75,0.0035829781903067293,-61.123802014202205,-113.6090328779849,34.3246543180216,0.006654244991436631,-32.0,-76.0,0.060636828402128154,8,0.05281030099386441,12.203677943614439,-130.39916450786995,ordinary
3176,-145.0,199.0,14.73,0.0022372824463884333,-26.938551413159768,-100.33901242419398,32.937056671642964,0.005248909570426341,-28.0,-76.0,0.05165109526312602,8,0.051943781097469555,12.025944322993913,-128.41018801838908,ordinary
3176,-158.0,199.0,15.75,0.0006581896703558021,-53.92034815382612,164.92400318819466,35.06746174218037,0.0012160557646327952,-20.0,128.0,0.03261522004085665,7,0.04164012924252436,10.968909267500628,-173.92545735182063,ordinary
3176,-152.5,199.0,14.77,0.0022633934648796927,-57.61500003097791,-158.0894297133861,33.3370286338622,0.0033766776593034953,-32.0,-76.0,0.042440489627727306,8,0.05441531365382224,12.161337808392277,-120.73641749986292,ordinary
3176,-158.0,199.0,15.47,0.0013518602867296226,-38.26462052688114,173.38072320091868,35.00987621211835,0.0031763934890890466,-8.0,148.0,0.05635885946956483,8,0.046216009189320006,12.099268827711905,-119.39707430910369,ordinary
3176,-152.5,199.0,13.965,0.002995124466861343,-54.038993420604825,-129.8100027695489,32.588060876914916,0.005960637629309207,-32.0,-76.0,0.05518172428369664,8,0.05183520134892006,11.638175372597802,-125.23406210009628,ordinary
3176,-152.5,198.35,14.615,0.005100053528818371,-64.6119096254276,-92.55928302924937,32.56690295842057,0.008254197364794158,-32.0,-76.0,0.06543205412957238,7,0.04554240279716759,10.798565826295969,-179.16717899146153,ordinary
3176,-158.0,199.0,14.95,0.003325726288936015,0.3169180500914115,-93.83124327123477,33.883961011121464,0.006465291195957845,24.0,104.0,-0.0597596409957496,8,0.06210187205836348,13.542984102993662,-117.41762188822575,ordinary
3176,-158.0,198.35,15.465,0.007732215223279493,-60.88626524052714,-156.2154236277866,33.10410703340377,0.007385998172302011,-36.0,-76.0,0.06286564618852741,7,0.04925575442620167,11.269697883606817,177.46714363554565,ordinary
3176,-158.0,199.0,14.01,0.004600739645692631,-22.117174238209007,-81.70745585394386,33.830525574213894,0.008969413405631288,-28.0,-76.0,0.06987786861593832,7,0.047118844520863123,11.33160034025584,177.90104232107507,ordinary
3176,-158.0,199.0,13.44,0.003303609570106558,-17.289324956947294,-121.3591601342206,34.98982402881212,0.005605071393424144,-28.0,-80.0,0.058697578318369636,8,0.056504277174786344,13.239358129616567,-118.07844554187483,ordinary
3176,-158.0,197.89,14.0,0.005162316039551973,-6.920542712948151,-93.35715008157068,33.090191919782164,0.00894882084892512,-28.0,-76.0,0.0674673973837285,7,0.04997614710991494,11.304559100104616,178.08647315354716,ordinary
3176,-152.5,199.0,14.14,0.003670944849388791,-42.30990850123338,-148.8326333740291,34.37363002855225,0.0047213433301780405,-32.0,-76.0,0.052149770782353305,8,0.05609142658022148,13.278774695527757,-121.29877865997048,ordinary
3176,-150.0,199.0,14.0,0.0023835925549418047,-40.26420546042602,-133.95925549521257,34.84994943453107,0.004473737704188907,-32.0,-76.0,0.05080761558203086,8,0.03922552077821995,10.73302158698192,-128.94767347338905,ordinary
3176,-150.0,199.0,15.05,0.00025475778689454387,-34.011564961370276,-137.41706639776996,34.8552433370902,0.0016498170511919374,-32.0,-72.0,0.030787148152996793,7,0.032190363444628334,9.751043657512117,-174.76566095959294,ordinary
3176,-158.0,199.0,15.205,0.003200632297597039,-37.53909769811681,-91.24401926739566,33.711869502730714,0.0070671298583177,-32.0,-72.0,0.061410180586827554,7,0.053483962959082754,11.957563011255704,-178.05861699012402,ordinary
3176,-158.0,199.0,14.5,0.004900560076583571,-55.909639092946314,-143.34146246043335,34.470328747906365,0.0055446520428821255,-32.0,-76.0,0.05584239712347659,8,0.04621662139362914,11.680351903407537,-121.41519479726098,ordinary
3176,-152.5,199.0,15.83,0.007862382142457602,-45.25704042791758,-168.23613942812062,33.83809351814925,0.007228009761576448,-44.0,172.0,0.07941009984704125,8,0.04684142920538337,11.70176685689203,-120.41922721620139,ordinary
3176,-152.5,198.35,14.02,0.0051145506165510835,-39.35099724240844,-116.78895716075824,33.4832220956428,0.008042300624298448,-32.0,-76.0,0.06557659029585759,8,0.0456307202701155,11.220117581710838,-131.20854801472422,ordinary
3176,-152.5,199.0,15.02,0.0010488908019394838,-26.426280562486276,-86.29387408339774,33.31016040453717,0.003799060784072439,-32.0,-72.0,0.04467759731146413,8,0.04201543602450253,10.707856102023843,-119.0784064594783,ordinary
3176,-158.0,198.35,14.17,0.0035712845669324533,-30.64474038222189,-115.37325464530187,32.423369191895695,0.006074330183542642,28.0,104.0,-0.054912506085525045,7,0.043901600218605674,10.439045552619609,175.80627225915572,ordinary
3176,-136.0,199.0,14.0,0.0018517874871750717,-23.733813124685785,-12.79790067753467,33.98125450989245,0.0034849236148591922,32.0,108.0,-0.04380520480812612,8,0.053703474825149033,12.537268390341819,-125.24024417650088,ordinary
3176,-158.0,199.0,14.415,0.0010489018079579138,-57.69461529763968,-58.082680914668494,34.655983708079354,0.0034992544626036848,32.0,108.0,-0.04438380469387307,8,0.04464740108705756,11.488659241317528,-133.54887960856203,ordinary
3176,-158.0,199.0,14.9,0.004852871840558826,-39.16386628783908,-117.21516282652463,34.12020483746893,0.007656814955895652,-32.0,-76.0,0.06520477109743214,8,0.04677279298797843,11.763959015055084,-130.5653183477074,ordinary
3176,-158.0,199.0,14.4,0.008066612942833395,-49.90902500060241,-128.67237435155494,32.08055182523759,0.009864447061776804,-32.0,-76.0,0.06903036547217117,8,0.04336593586011128,10.633501576828753,-133.18924799925742,ordinary
3176,-158.0,199.0,13.66,0.005754465233799078,-32.046106647642354,-132.57022123656387,35.51675690513186,0.008098268870890712,-32.0,-76.0,0.06993998474028999,8,0.06196531431740304,14.169179289093657,-116.66548797262425,ordinary
3176,-158.0,199.0,14.02,0.006214452239476254,-18.811988813871224,-107.38656109931186,32.803211022905515,0.009956924988109295,-28.0,-80.0,0.0732816540729281,8,0.042616641958916124,10.704193534785642,-127.18886455461536,ordinary
3176,-145.0,199.0,13.91,0.004918513265968927,-47.42036072968589,-142.40116369803107,33.22731566238719,0.00602968667672954,-32.0,-76.0,0.056548428693442725,7,0.044450442456286265,10.691377317420244,178.22127470633794,ordinary
3176,-158.0,198.35,14.379999999999999,0.0066089045742202535,-34.67931786081216,-70.98200773362022,32.62190336946125,0.011160610317256014,-32.0,-72.0,0.0750116908067832,7,0.06543370312178654,13.029617673857997,-174.8480225531201,ordinary
3176,-158.0,199.0,15.39,0.004637673043785706,-67.03973870545104,-160.82578038476078,33.89352364217474,0.005015185481670126,-36.0,-76.0,0.052414836239191534,8,0.04610600673699039,11.349013410737617,-123.02162396114134,ordinary
3176,-158.0,199.0,14.01,0.004727952197695617,-19.436127722364656,-125.95922816149363,34.52581531199148,0.006571307367346568,-28.0,-84.0,0.06378349163279179,8,0.04113328741249056,11.279469830976657,-124.74406799972192,ordinary
3176,-158.0,199.0,13.15,0.0045138986440591555,-27.895309886723187,-136.68683712964742,34.55548098140704,0.006071503497985575,-32.0,-76.0,0.05897717412491506,8,0.04825421134327679,11.7261347494793,-127.45897188272676,ordinary
3176,-152.5,199.0,15.06,0.0010155256212345254,-21.53759783606265,-154.1239655162537,34.33967227969338,0.001987678306721752,-32.0,-76.0,0.033680759275459715,8,0.03731367902265725,10.772804511645619,-122.11042048373778,ordinary
3176,-158.0,199.0,15.35,0.0032289994165861646,-10.096316219453275,-121.784684838787,35.131651142054615,0.005266510735034702,28.0,100.0,-0.05668942795009544,7,0.03882896727041418,10.618976761763703,173.5568005548848,ordinary
3176,-145.0,199.0,15.055,0.007027602587834969,-33.54868300007982,-163.17340720957958,33.1026426710934,0.0070602112726942945,-40.0,176.0,0.07409081585071839,7,0.03609046809470473,9.527317846985085,167.7983821329291,ordinary
3176,-158.0,199.0,15.05,0.008083837891250778,-52.44819821902223,-121.5361661697223,32.64249342618524,0.010875592536043754,-36.0,-76.0,0.07568334376517401,8,0.05027433761349687,11.701101327916403,-129.2998968777755,ordinary
3176,-158.0,199.0,14.24,0.0029164772499989944,-40.69701984262369,-45.30050134839718,33.77323317609573,0.0064456117134720214,-32.0,-72.0,0.05843647308230251,7,0.05928508218901696,12.773868518343503,-168.76861216844478,ordinary
3176,-158.0,199.0,14.9,0.008760961649127652,-50.18211710374188,-127.14307946473961,33.555328472291706,0.010430576962066396,-32.0,-80.0,0.076433957419672,7,0.054737077827686886,11.942603543456912,176.81664017344124,ordinary
3176,-158.0,199.0,13.88,0.0024448700011705515,-28.60202826636571,-158.66340316971133,33.86866098339091,0.0024887750011737264,-32.0,-80.0,0.03793550649140693,8,0.04153483305667938,10.824556278693478,-118.95143613861448,ordinary
3176,-158.0,199.0,13.93,0.008784572118764267,-8.521713902917305,-70.78607079923637,32.65251898218784,0.013889663335158953,-24.0,-76.0,0.08548822383921521,7,0.052268639799363914,11.17291187540424,169.43128685537138,ordinary
3176,-158.0,199.0,14.0,0.004383006825298574,-17.381636044878043,-75.28983675306294,31.80758671728147,0.008191600185332715,28.0,104.0,-0.06325695630796276,7,0.048328668067040614,10.787445807766076,-173.75529132582486,ordinary
3176,-158.0,199.0,14.14,0.0021495977547286715,-15.880356685981866,-36.86874400649488,32.868678630465595,0.004690762549130589,-32.0,-72.0,0.04892391862012304,8,0.050208059893312784,11.63978350632776,-119.86602870820268,ordinary
3176,-145.0,199.0,14.0,0.001774530740347502,-35.621015086451536,-97.21941664941475,33.99396433403901,0.004963388446120209,-32.0,-72.0,0.051755692197938116,8,0.053032617122910186,12.099451389787117,-125.18080538744556,ordinary
3176,-152.5,199.0,13.88,0.0009618350636220185,-27.785547083036555,-40.617560685076036,34.05673336066249,0.003233098980581439,-32.0,-72.0,0.041826169664337595,8,0.05686653087585425,12.65391894840763,-124.54319899255177,ordinary
3176,-158.0,199.0,15.06,0.001884640992659059,-36.42792509343625,-91.25127913888318,32.97956947551187,0.004949402226291255,-32.0,-72.0,0.05001059009250736,8,0.037214132795106436,10.048312264958206,-128.4987865058942,ordinary
