metric,observed_median,observed_mean,matched_random_median,matched_random_mean,p_low,p_high
path_m_mean,0.1442318610435876,0.1437351353883777,0.14583448560172552,0.146054647435011,0.4251149770045991,0.5750849830033993
path_m_min,0.12749813721233844,0.12623849097638284,0.124779580790119,0.12614701494631136,0.6026794641071785,0.39752049590081984
path_frac_below_threshold,0.19889502762430938,0.1980110497237569,0.1878453038674033,0.18100331491712707,0.5438912217556489,0.4741051789642072
path_integrated_penalty,0.1244618881284793,0.22575471985056544,0.1991346828833344,0.3352827516144446,0.4279144171165767,0.5722855428914218
ridge_crossings,6.0,6.16,2.0,4.3736,0.742251549690062,0.35892821435712857
longest_low_run_deg,54.0,43.52,48.0,49.0112,0.5508898220355929,0.46530693861227757
longest_high_run_deg,178.0,159.92,184.0,199.692,0.4761047790441912,0.5342931413717257
mean_abs_dM_dtheta,0.0006433150038238174,0.0005893286302599972,0.0006445957210963213,0.0006014801045629498,0.4957008598280344,0.504499100179964
