axis_lat,axis_lon,angle_deg,rotated_pole_lat,rotated_pole_lon,r2,rmse,mae,scale_m_per_sigma,intercept_m,spearman,abs_spearman,kendall_tau,abs_kendall_tau,score,source_file,lambda_q,spearman_pred_obs,rotation_only_spearman,intercept,rotation_coeff,quadrupole_coeff_norm,path_m_mean,path_m_median,path_m_min,path_m_max,path_frac_below_threshold,path_integrated_penalty,ridge_crossings,longest_low_run_deg,longest_high_run_deg,mean_abs_dM_dtheta,max_abs_dM_dtheta
10.0,130.0,79.0,12.427794426596687,48.14623739691394,0.5588183091127091,28.583228793558156,20.351443983691013,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6422172924932499,-48.58017543859649,27.7384338931845,9.22490656347282,0.15288250401492048,0.15453768505622775,0.13033974429210077,0.17933773684960147,0.011049723756906077,0.0038551366043518276,2,4.0,182.0,0.0007185039885027426,0.0032975351555301347
10.0,130.0,79.0,12.427794426596687,48.14623739691394,0.5588183091127091,28.583228793558156,20.351443983691013,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6422172924932499,-48.58017543859649,27.7384338931845,9.22490656347282,0.15288250401492048,0.15453768505622775,0.13033974429210077,0.17933773684960147,0.011049723756906077,0.0038551366043518276,2,4.0,182.0,0.0007185039885027426,0.0032975351555301347
-25.0,160.0,87.0,12.802710293031556,48.14675880076104,0.5588183090586619,28.58322879530896,20.351554379999676,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6422172924932499,-48.58017543859649,27.588064016919137,9.27711258465508,0.14093432568374384,0.14029054881363848,0.12579257446290093,0.18081506854842347,0.1878453038674033,0.11846993892111324,8,28.0,106.0,0.0006939938153661467,0.003430442631751504
-25.0,160.0,87.0,12.802710293031556,48.14675880076104,0.5588183090586619,28.58322879530896,20.351554379999676,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6422172924932499,-48.58017543859649,27.588064016919137,9.27711258465508,0.14093432568374384,0.14029054881363848,0.12579257446290093,0.18081506854842347,0.1878453038674033,0.11846993892111324,8,28.0,106.0,0.0006939938153661467,0.003430442631751504
-40.0,-180.0,109.0,12.833856129758203,47.97624704117482,0.5588183089314747,28.583228799429055,20.351546492132236,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6414380207899365,-48.58017543859649,27.50837251644428,9.344087146316644,0.1382222732551725,0.1347891406346308,0.12068330996553635,0.1818998517500117,0.281767955801105,0.3744177932722551,10,50.0,80.0,0.0006985003109559533,0.003906970275694935
-40.0,-180.0,109.0,12.833856129758203,47.97624704117482,0.5588183089314747,28.583228799429055,20.351546492132236,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6414380207899365,-48.58017543859649,27.50837251644428,9.344087146316644,0.1382222732551725,0.1347891406346308,0.12068330996553635,0.1818998517500117,0.281767955801105,0.3744177932722551,10,50.0,80.0,0.0006985003109559533,0.003906970275694935
-20.0,155.0,83.0,12.978835532436245,48.164507114754656,0.5588183089292409,28.583228799501413,20.351607368324604,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6414380207899365,-48.58017543859649,27.524901475424095,9.299031284215458,0.14231830352647376,0.1412278823433721,0.12985852308423623,0.17997360121370667,0.09392265193370165,0.021011216905690577,8,24.0,214.0,0.0006775691265196794,0.003462318086376537
-20.0,155.0,83.0,12.978835532436245,48.164507114754656,0.5588183089292409,28.583228799501413,20.351607368324604,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6414380207899365,-48.58017543859649,27.524901475424095,9.299031284215458,0.14231830352647376,0.1412278823433721,0.12985852308423623,0.17997360121370667,0.09392265193370165,0.021011216905690577,8,24.0,214.0,0.0006775691265196794,0.003462318086376537
10.0,-55.0,105.0,-12.759609061523223,-132.24859307823723,0.5588183086362501,28.583228808992537,20.351501474986044,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6222159854415364,-48.58017543859649,27.450052145054354,9.417333265161131,0.15253520688446498,0.15085324638672357,0.1312491107882775,0.17933773684960147,0.0055248618784530384,0.00044297842344498406,2,2.0,298.0,0.0006455615351671122,0.005595499999999989
10.0,-55.0,105.0,-12.759609061523223,-132.24859307823723,0.5588183086362501,28.583228808992537,20.351501474986044,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6222159854415364,-48.58017543859649,27.450052145054354,9.417333265161131,0.15253520688446498,0.15085324638672357,0.1312491107882775,0.17933773684960147,0.0055248618784530384,0.00044297842344498406,2,2.0,298.0,0.0006455615351671122,0.005595499999999989
