n,gradient_r2,gradient_axis_lat,gradient_axis_lon,raw_best_harmonic_k,raw_best_harmonic_r2,residual_best_harmonic_k,residual_best_harmonic_r2,l1_r2,l1_delta_r2,l2_r2,l2_delta_r2,l3_r2,l3_delta_r2
81,0.06425925435119784,54.95683866433495,-120.32997000488724,2,0.09219520729639041,3,0.07492990033274471,0.06425925435119784,0.06425925435119784,0.17850923959735676,0.11424998524615892,0.2566319509190781,0.07812271132172133
81,0.028395086278164894,34.53263370455634,-158.25567881301336,8,0.047710390936439695,8,0.043353054349279496,0.028395086278164894,0.028395086278164894,0.07354869715823287,0.045153610880067974,0.16788395366911302,0.09433525651088015
81,0.028565891860502846,51.03376030364115,-155.85396451129316,2,0.04792393518062932,3,0.04354801330927349,0.028565891860502846,0.028565891860502846,0.13813630314711167,0.10957041128660883,0.24753044099791388,0.10939413785080221
81,0.01121658567388617,27.36426651882163,-147.71784843453955,3,0.056055049797310796,3,0.06358731727456113,0.01121658567388617,0.01121658567388617,0.11626827774843351,0.10505169207454734,0.2105801234331438,0.0943118456847103
81,0.0032686778193831145,48.12763252542933,152.55945810584114,8,0.07075691586597521,8,0.07459267302763228,0.0032686778193831145,0.0032686778193831145,0.09603121481561738,0.09276253699623427,0.21355139880819352,0.11752018399257613
81,0.018877977506623234,41.52601870972171,-169.8889757200335,2,0.0887744790641688,2,0.08354082611493996,0.018877977506623234,0.018877977506623234,0.15607295267847265,0.13719497517184942,0.22584960907217955,0.06977665639370689
81,0.0312296736160268,37.22486929777077,-160.74070191007456,3,0.029172404123972484,3,0.05106010626536117,0.0312296736160268,0.0312296736160268,0.07664319317156776,0.04541351955554096,0.19045457944007294,0.11381138626850518
81,0.02648524936689778,54.94905840767359,-124.60774142121558,2,0.03740946622062402,3,0.04048204382664233,0.02648524936689778,0.02648524936689778,0.09828970008101967,0.07180445071412189,0.2070095638094951,0.10871986372847542
81,0.05293616642937826,76.86747581712163,-73.8517276539523,5,0.04689233595994147,3,0.0608687520411334,0.05293616642937826,0.05293616642937826,0.13371308534575976,0.0807769189163815,0.269211442707716,0.13549835736195626
81,0.02835283460520588,55.586600571080126,-122.07424072527648,2,0.07844649427649142,3,0.07106144743851661,0.02835283460520588,0.02835283460520588,0.17668692857557344,0.14833409397036756,0.2636046674703808,0.08691773889480736
