lmax,n_terms,r2,delta_r2,rmse,mae,l1_coefficient_norm,l2_coefficient_norm,l3_coefficient_norm
1,3,0.002465255971691893,0.002465255971691893,33.54243959934884,19.247328580811484,2.7581912580975456,,
2,8,0.08281542723978108,0.08035017126808919,32.16318149770547,18.107506126023775,19.07064127899176,49.15361144917547,
3,15,0.1731074224816428,0.09029199524186171,30.539025714569235,17.73467835641879,43.83210295764949,49.5334840139279,56.19915164801619
