k,r2,rmse,amplitude_m,phase_deg,cos_coeff,sin_coeff
1,0.012439522472286746,259.40774594581103,42.77976585451942,89.20059317341287,0.5968559572621058,-42.7756020359011
2,0.0029804270786755183,260.6471206262051,27.822890622697155,47.24114964972793,18.889354599002925,-20.428057309389366
3,0.023962965780569445,257.8898430330331,87.68945293094006,-78.44285957121903,17.56815246768719,85.9115834692834
4,0.016146724502038134,258.9203929423227,60.449108712625645,-123.79706781218346,-33.62500339036291,50.233991391774914
5,0.002871162873119726,260.66140250246485,23.522975076015967,141.0292150594209,-18.288330988315828,-14.794164595835598
6,0.010821157014573202,259.6202112540987,39.55565574651372,52.640311692709645,24.003034928731694,-31.44048688787739
7,0.0008468381198971642,260.9258596978402,11.136113424761387,-43.44352496716056,8.085403132787613,7.657628770674317
8,0.020269390496396533,258.3773430243679,59.40015730177776,-106.8251633345846,-17.19350665939913,56.857383128571264
