n,source_count,spherical_r2,spherical_axis_lat,spherical_axis_lon,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_plane_slope_m_per_degree
131,39,0.24254819980557585,-29.357192162730254,-85.44806972607566,0.3757961810830597,28.0,84.0,-27.995046541193915
3203,39,0.017189352923471346,-14.524637815159227,-87.06774955270211,0.024642965585017773,-28.0,-100.0,0.9460392894752685
6203,39,0.013879457334951883,-22.309054387353267,-96.8330540449907,0.022088713941683547,-32.0,-100.0,0.9122820793774353
3194,39,0.007977012169437248,3.6061727364148943,-70.30281475514731,0.008668449051557725,-16.0,-76.0,0.13591093565683568
6192,39,0.007342805397552499,-21.806425595379444,-91.95396513024514,0.011608379325496632,-28.0,-100.0,0.49396792502944686
3207,39,0.015140831504271035,3.219399184674885,-44.771842994044064,0.019923671691750244,-4.0,144.0,-0.3796764329986017
6199,39,0.01570804711420626,-14.514166762480395,-90.2646497120939,0.02343434776103559,-28.0,-100.0,0.9279688267089257
6208,39,0.002681611498855818,-8.196916983942062,-41.07576183357736,0.003081925467498192,-24.0,-68.0,0.0942740264385871
243,39,0.06116425961716354,-50.648998199509386,-42.19471159280697,0.061082370392097185,-48.0,-44.0,5.587217041749423
219,39,0.005736123796049375,-52.73817123575249,5.9257143172631315,0.005135475775358889,-52.0,-4.0,1.2367201767919713
164,39,0.26940808921441883,-38.7529443904896,-89.53970259598225,0.44182643407427125,32.0,80.0,-30.02412308848791
148,39,0.04031088373815406,-40.669373934851635,176.33988965893934,0.04141185777351042,-64.0,156.0,2.0647658894204515
6239,39,0.008053771405327703,-21.508330005949922,-93.40092525815523,0.012572819331545748,-28.0,-100.0,0.4937633582151485
9238,39,0.004388943910215715,-33.751942311342454,-96.76434088800453,0.0073763907551226415,-32.0,-100.0,0.33396431224091633
187,39,0.14523729197792712,-41.99066819880163,-84.18235623400814,0.2599497965318218,32.0,80.0,-18.412000892346473
3200,39,0.0047924436749533506,-22.830519173026346,-56.61891256676561,0.00579161449579213,-24.0,-72.0,0.12903923023257044
163,39,0.05509422510746076,-71.24229270153106,72.26721282466708,0.06299435600541814,-72.0,116.0,2.479336518336476
3228,39,0.010264820408526831,-39.614883749624454,-106.78297156524565,0.01724791246008983,-32.0,-100.0,0.8645725869229693
6249,39,0.009262789671606986,-18.77172220160453,-88.36962544199594,0.013639156100661798,28.0,80.0,-0.5208496297050396
3213,39,0.028883316917440505,-15.940048476321971,-89.7726353120602,0.0430144930940225,28.0,80.0,-1.7246703425559615
6172,39,0.006945008981216305,-29.32853136655377,-95.42056388349248,0.011145366843290705,-32.0,-100.0,0.5043610610536512
3227,39,0.030780589610340914,-15.425686850403693,-86.93999273671135,0.044533103799739515,-28.0,-100.0,1.786066109326137
243,39,0.1820832876584777,-46.40923570243042,-102.66041951815541,0.271733100090922,36.0,76.0,-14.99979285475529
168,39,0.4022434019712646,-44.24623720226783,-103.54851220534896,0.5129947812795523,-36.0,-104.0,30.497634246370442
3275,39,0.02629674790686909,-16.34649505772862,-93.9940556239654,0.040847942070465715,-28.0,-100.0,1.6570393630687192
3261,39,0.02819307211300215,-15.165101298412779,-89.13174362902816,0.04209445512837151,-28.0,-100.0,1.6888308945859731
6169,39,0.006607332151064682,-31.81096704462878,-95.42616919153755,0.010793869311956361,-32.0,-100.0,0.4901922117195475
3197,39,0.03148179297921816,-14.348003809891656,-86.65425099489653,0.04505523296927627,-28.0,-100.0,1.7963848500975783
184,39,0.020560017986206436,-52.95641213421544,-52.32495378119343,0.02031818560570875,-52.0,-52.0,2.953093116978682
6204,39,0.01498724831075493,-19.45346332235847,-88.72900239847203,0.022584910722704077,-28.0,-100.0,0.9453919239905769
9250,39,0.005213296601956907,-25.54296890362832,-100.7404797244482,0.00853779774908503,32.0,80.0,-0.3324015077423832
6185,39,0.002209553671752018,-12.865132360019901,-42.371094887501094,0.0027385131149282316,-24.0,-68.0,0.08940970228955983
3216,39,0.012738413089469325,-4.257301464127965,-49.8967918242423,0.014583675473591962,-4.0,144.0,-0.3059498958546368
3196,39,0.013400396343500764,-27.752608862577276,-95.94473677922274,0.021172291601506243,32.0,80.0,-0.9120927915951059
169,39,0.23025125400074686,-34.00661050622924,-87.02726933648269,0.38110326363478975,-28.0,-100.0,26.971352295160347
159,39,0.09209465009679862,-50.052328459311134,-23.214917811390144,0.09119973892917821,-48.0,-28.0,5.530475614798877
3153,39,0.029560261775746444,-16.456344753682973,-86.71237195256715,0.043118734908519585,28.0,80.0,-1.8025580433107804
3267,39,0.025033705252079486,-22.112006403140004,-95.99536366339613,0.03974360121790277,32.0,80.0,-1.6781139601625317
170,39,0.16908611836087106,-34.609721670020235,-115.31223271604301,0.2511181066067093,32.0,76.0,-16.187534168782484
3232,39,0.05336678770256531,-15.291492546008016,-89.30693040635403,0.0786555772319788,-28.0,-100.0,3.2012386229371725
3171,39,0.0013033562751832983,-62.10844467109975,145.46733758824993,0.0022314908336804606,-32.0,116.0,0.10242622421731493
6260,39,0.007893931531289144,-17.250147665799723,-90.2004160847131,0.012215837881941694,-28.0,-100.0,0.483539619948015
3224,39,0.015018884918656217,-24.062021821609566,-92.54462732146591,0.022913810789941813,-32.0,-100.0,0.9650920910659317
6215,39,0.007832601214878165,-17.904232211967894,-83.96114042701063,0.011672261496611158,-28.0,-100.0,0.5011593453253811
9215,39,0.0017604268213523566,-60.38256601666365,-117.53661711194896,0.002713498382472479,-32.0,-76.0,0.05653786153975513
6225,39,0.009130086259216852,-13.616873160920147,-80.66892626844077,0.012727925481332836,-28.0,-100.0,0.5063338814428715
3232,39,0.013505676366879604,-26.259918648092686,-96.69718290909475,0.02159762423181555,-32.0,-100.0,0.9095689206946608
197,39,0.014778432628809401,-76.82688966669059,-48.43225987485304,0.018009041239814283,-68.0,160.0,0.40120710847478425
210,39,0.18922329419520767,-40.09169490016275,-97.82291343487886,0.316062385444453,32.0,80.0,-17.778580136347767
6210,39,0.007451989785442592,-26.182751609181878,-99.58191006458594,0.011977437812049518,32.0,80.0,-0.49379813002519696
