n,source_count,spherical_r2,spherical_axis_lat,spherical_axis_lon,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_plane_slope_m_per_degree
3185,35,0.016190488706481654,-49.82895501506214,-169.02931466988676,0.017698946666923288,-56.0,172.0,0.12987487704941608
6189,35,0.0014866275608124147,-18.246142728993178,-91.47515382484055,0.004213376424089588,-28.0,-76.0,0.04445598322463491
3187,35,0.0030061454633831808,-10.885957492402719,-116.72495607431131,0.005478800617555346,-32.0,-76.0,0.0555061703435866
202,35,0.2049627731705428,53.68944282608289,176.70386412221734,0.18242481862862348,-56.0,-8.0,-1.3797333421162483
293,35,0.12871898234035783,36.02787581539745,-134.4251236608733,0.1268289127486597,-24.0,68.0,-0.345296925427652
3212,35,0.02208281159801795,24.237554953646043,-54.930161714284544,0.022661662585849562,-36.0,140.0,-0.14277237888543004
6210,35,0.0021535848053876316,-64.15597097240318,-154.82688377158183,0.0034712632411416644,-32.0,-76.0,0.04081394323202019
6211,35,0.0006565265707901835,-27.301663751449077,-170.14349080718105,0.0015982634762037318,32.0,108.0,-0.027921690535291366
3171,35,0.0009728784743711083,-70.42597704224985,-164.53763276194448,0.0025857152140582595,-32.0,-72.0,0.03528537785392869
3200,35,0.003249798761877254,-20.460308519393333,-108.61030910131332,0.006401819454566637,-32.0,-76.0,0.05764549869108043
157,35,0.40902118592094616,56.98170925737473,117.13038515896963,0.39069335257986015,-60.0,-68.0,-1.484992818278133
3183,35,0.0035568264109925307,-51.611527949586986,-125.47302215181975,0.005742389844475282,-32.0,-76.0,0.05523820419108466
6177,35,0.002050390215571185,-60.95652187205378,-169.8811600975216,0.00284373648305003,-32.0,-76.0,0.03692312910922771
121,35,0.11161309587373691,45.91940945526605,-18.19909854828647,0.12893153052658735,-12.0,132.0,-0.32224756273071664
3217,35,0.006956036202362403,6.100915445859221,-60.77773880235748,0.009447425555380806,-24.0,-72.0,0.0743351891185052
132,35,0.03663640161257975,-5.890906414179356,74.43087159508568,0.03720724106385653,16.0,-112.0,-0.3201594111169144
3157,35,0.0027616901312684794,-6.606476530856678,-80.63679821476686,0.005966439360482245,28.0,104.0,-0.0571061108620529
3160,35,0.0070497683152421775,-49.05207637845318,-114.02952001677714,0.00930743890225938,-32.0,-76.0,0.0723022383239184
154,35,0.04244180871412673,-66.13617185147042,-106.72731733553022,0.047212215952417536,-72.0,-132.0,0.39697625761822963
195,35,0.4971912186019831,50.76757519351558,86.41450666042033,0.500027075287083,-52.0,-96.0,-1.6725022891153705
240,35,0.07185879667106276,45.676966354986234,-164.39000766206127,0.05336612161404952,-52.0,24.0,-0.5238748520659443
3152,35,0.009223264756046956,5.583095603714706,-55.85876522801134,0.011060552673970325,-20.0,-72.0,0.07778358618237675
193,35,0.06200412437149816,61.58786371383345,84.22327049242963,0.06142872057607052,-60.0,-92.0,-0.4749113716662195
6176,35,0.0031261264013093815,-57.14346212364257,-143.65675191521348,0.0044251342045437125,-32.0,-76.0,0.04572587282687705
3187,35,0.003949934497197272,7.897337608497559,-86.66609619014581,0.006567608676246839,24.0,104.0,-0.060807040076245135
178,35,0.1962362854942944,61.18430923465966,4.55038587746016,0.2405750313708045,-60.0,-168.0,-0.5397674266867776
6251,35,0.00654589856216381,19.05402575699593,-54.39146141869976,0.007139759804445145,20.0,108.0,-0.060809248290179446
6186,35,0.0009655345431059947,-43.68272287887756,-128.80854320664886,0.002923942597549245,-32.0,-72.0,0.036660189955330685
3201,35,0.003255006571387109,-26.61079969215758,-114.9170464399558,0.006191204292824937,-32.0,-76.0,0.057549033254879395
157,35,0.007336218649552917,-3.664084469174233,66.85765902278739,0.00801746228256095,-28.0,24.0,0.13033270302056266
3162,35,0.008873290820205493,-57.50340455900512,-177.8243732622565,0.009381447787458086,-56.0,160.0,0.09642244128600619
136,35,0.22149722567707986,61.69531681528977,88.03242980425878,0.23710964113614397,-64.0,-108.0,-0.8292799490160754
137,35,0.0233389941791442,41.320888794271255,78.56129868151218,0.02525495065676231,-40.0,-100.0,-0.4805963742882464
161,35,0.1902642724547099,41.21040935472332,94.21234887564766,0.18959870077840324,-40.0,-88.0,-0.9920139662351934
6182,35,0.000994253672887746,-40.72916162834566,-67.25298733342147,0.0035842858481295314,-32.0,-72.0,0.04019258148450134
3176,35,0.00813804740846713,-60.05803630499495,145.54607683043514,0.009503029070238478,48.0,-44.0,-0.09940690011643893
201,35,0.09758269566990319,22.089915150828446,106.19220958578207,0.11379602208029549,16.0,112.0,0.42557554808688774
211,35,0.03634263593931375,-9.189968669374428,-62.88094068170822,0.042441668230959184,-32.0,112.0,-0.16727226326432307
162,35,0.12824256123847355,-14.045561666479898,61.26651671449985,0.12503249138166816,-16.0,60.0,1.1123160685758746
3148,35,0.006035410451653234,-47.51403876608611,-132.74658627391688,0.00730417043981868,-32.0,-80.0,0.0659471610735587
3136,35,0.010564037280927252,-44.12274043699305,-167.29039997811478,0.011216464541678683,-52.0,168.0,0.10139186368596127
168,35,0.13465386142066738,41.75746462260293,103.07489525398799,0.13769585267839157,-32.0,-92.0,-0.923188143111202
132,35,0.02062597599108229,-5.700594982256721,78.03428278559464,0.022450274524301594,-4.0,-92.0,-0.3023558574953545
6270,35,0.002887990680186414,-50.0787430845101,-119.44575950948351,0.0054079070419417175,-32.0,-76.0,0.05262699995443404
3187,35,0.007039796296963496,-45.47471363572643,-160.12456663960103,0.00674615762594033,48.0,-8.0,-0.07878232576958653
145,35,0.12168618678299448,49.59936171884675,173.50740005169106,0.11152169462405936,-52.0,-8.0,-0.9833685425865754
6184,35,0.003748474993451989,-52.622982697161795,163.3142916292,0.004698941256978673,-44.0,144.0,0.06687658898857879
91,35,0.01756836880576207,49.69432447175582,-67.92267781110031,0.02597720333757214,-40.0,108.0,-0.20301449369873178
159,35,0.09252405158894139,25.32694536596799,-59.00364599691402,0.10240604036462908,-40.0,120.0,-0.3032729973969549
3227,35,0.003877887298585403,5.001772180301243,-68.99286842819154,0.006783008668190371,-28.0,-72.0,0.060578238189559354
