axis_lat,axis_lon,angle_deg,rotated_pole_lat,rotated_pole_lon,lambda_q,r2,rmse,mae,spearman_pred_obs,rotation_only_spearman,intercept,rotation_coeff,quadrupole_coeff_norm
5.0,170.0,29.0,61.11275728550538,81.29122866786604,0.1,0.047688836637780896,32.77329208380793,18.436218738534507,0.38904623058355553,0.3991233668337933,20.169867758186427,6.771448920823684,3.002337325490799
60.0,145.0,59.0,61.49308506320571,81.10363418813961,0.1,0.047688836637779564,32.77329208380795,18.436218898261124,0.38904623058355553,0.3984527020160299,20.169867758186427,6.768006411739993,2.999204010826938
55.0,150.0,51.0,61.408040365118794,81.34135709805304,0.1,0.04768883663777845,32.77329208380797,18.436218832178835,0.38904623058355553,0.39956770563527827,20.169867758186427,6.7817818562728895,2.994407214835164
-50.0,-170.0,47.0,60.29744074016553,81.57782660571486,0.1,0.047688836637775345,32.77329208380802,18.436218415061155,0.38904623058355553,0.39889496583414025,20.169867758186427,6.771291377105056,3.0144558985071543
-30.0,-180.0,33.0,61.52231990576111,81.57535213186821,0.1,0.04768883663777257,32.77329208380807,18.43621883541735,0.38904623058355553,0.4008439106842918,20.169867758186427,6.799898939684823,2.9857090612265145
-15.0,175.0,29.0,62.008666457989726,81.1706101879654,0.1,0.047688836637772236,32.77329208380808,18.436219064809347,0.38904623058355553,0.39794669393701965,20.169867758186427,6.784632258557008,2.9866412658413504
-15.0,175.0,31.0,60.08144580545891,80.89452876418838,0.1,0.04768883663777157,32.773292083808094,18.43621844465093,0.38904623058355553,0.3982291810386539,20.169867758186427,6.7192110638168785,3.038120187250934
-30.0,-180.0,35.0,59.81016531093494,81.0410890583692,0.1,0.047688836637768905,32.77329208380814,18.43621832860629,0.38904623058355553,0.39833311450051584,20.169867758186427,6.722554283031806,3.0410151414455138
20.0,165.0,31.0,60.9121757043289,80.41832783450893,0.1,0.04768883663776868,32.773292083808144,18.436218806175383,0.38904623058355553,0.39646631906436464,20.169867758186427,6.707409185299069,3.032720624421662
35.0,160.0,37.0,59.86927948813262,80.86388303686704,0.1,0.04768883663776691,32.77329208380817,18.436218376163314,0.38904623058355553,0.398259747665754,20.169867758186427,6.711730061519776,3.044427215655218
35.0,160.0,35.0,61.47984411844275,80.25102630871459,0.1,0.04768883663776391,32.77329208380822,18.436219029145345,0.38904623058355553,0.3964017983000736,20.16986775818643,6.710386578920593,3.0259866964326845
60.0,145.0,61.0,60.59866877052624,82.02739899599666,0.1,0.04768883663776291,32.773292083808236,18.43621845141467,0.38904623058355553,0.3992979431879855,20.169867758186427,6.808522538049279,2.9963147410989515
25.0,165.0,31.0,61.96712867160135,81.68470719525807,0.1,0.047688836637761245,32.773292083808265,18.436218970890828,0.38904623058355553,0.40119460385104394,20.169867758186427,6.81721042130843,2.9734962712687656
-45.0,-175.0,41.0,61.32490123734657,80.19116368364675,0.1,0.047688836637761245,32.773292083808265,18.43621898528846,0.38904623058355553,0.39646680339571283,20.169867758186427,6.702382139293264,3.0312252491791547
45.0,155.0,43.0,59.96008285188907,80.5644749420203,0.1,0.047688836637760135,32.773292083808286,18.436218453999047,0.38904623058355553,0.3970372039455207,20.169867758186424,6.693172225993438,3.0509058612447064
55.0,150.0,49.0,62.479663478225234,80.47106058180542,0.1,0.04768883663775936,32.7732920838083,18.436219338230757,0.38904623058355553,0.39867586695555085,20.169867758186427,6.74987578684229,2.9993778344773574
-45.0,-175.0,39.0,62.694472442704566,80.94220758210926,0.1,0.0476888366377578,32.77329208380833,18.43621933620383,0.38904623058355553,0.3985386135196632,20.169867758186427,6.785788156293174,2.9805150421449174
25.0,165.0,33.0,60.16768309775288,82.13546586474895,0.1,0.04768883663775714,32.773292083808336,18.436218288247183,0.38904623058355553,0.4000960000733164,20.169867758186427,6.8058188695234705,3.0049756860086356
-40.0,-175.0,39.0,60.36857445610839,82.17665026867691,0.1,0.04768883663775603,32.77329208380836,18.436218350896024,0.38904623058355553,0.39956125855948604,20.169867758186427,6.81318356009468,2.9988817305501505
-60.0,-160.0,63.0,59.71159389643603,82.04506080133821,0.1,0.047688836637755916,32.77329208380836,18.436218145381424,0.38904623058355553,0.40105721050969717,20.169867758186427,6.789101008277541,3.019167599168024
5.0,170.0,31.0,59.120911218673044,81.38459384536172,0.1,0.04768883663775403,32.77329208380839,18.436218039477033,0.38904623058355553,0.40018378185260434,20.169867758186427,6.729247064356048,3.0509743854480416
