subset,n,z_min,z_max,z_median,lat_r2,lon_r2,abs_lat_r2,spherical_r2,spherical_axis_lat,spherical_axis_lon,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_plane_slope_m_per_degree,best_harmonic_k,best_harmonic_r2,spherical_r2_p,plane_r2_fixed_best_plane_p,best_harmonic_r2_p
all,3193,-4753.0,199.0,14.02,0.0025954708427463613,0.006415935243762938,2.8773780860191778e-06,0.014316204541661603,-19.741013938511784,-88.66626938204634,0.022231462006692793,-30.0,-100.0,0.9352247844671995,3,0.022770219067458353,0.000999000999000999,0.000999000999000999,0.000999000999000999
littoral,3176,-158.0,199.0,14.370000000000001,0.00030587973338180863,0.001180542613073432,0.0004759654184220974,0.002465255971691893,-37.202743453729774,-110.77378223734581,0.005461024836620254,-32.0,-74.0,0.053796520578737454,6,0.015588266333828371,0.053946053946053944,0.000999000999000999,0.000999000999000999
deepwater,17,-4753.0,-900.0,-3870.0,0.4631033312944489,0.03818788513713156,0.3931611352680279,0.8847909275569742,-61.891046018375484,2.9587172230611367,0.8762378141066831,-62.0,2.0,634.7111033111013,2,0.9425250156796244,0.000999000999000999,0.000999000999000999,0.000999000999000999
