left_out_source_id,left_out_n,remaining_n,spherical_r2,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_harmonic_k,best_harmonic_r2
walis_v1_0_post_review,3023,170,0.16065404414463835,0.2747811416670559,32.0,80.0,3,0.3508779416488158
brooke2017,21,3172,0.014053250547036766,0.022039483673806703,-30.0,-100.0,3,0.023339267471923608
woodroffe1981,21,3172,0.014366158105865945,0.022260928059167462,-30.0,-100.0,3,0.022923557398081273
