axis_rank,eigenvalue,axis_lat,axis_lon
1,14.673456216998636,-42.588297239071224,-102.5166739882976
2,-4.454019560048272,21.388650682790043,-171.4159336722233
3,-10.219436656950371,39.75930600486106,-62.398621825716006
