n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l1_axis_lat,l1_axis_lon,l2_norm_residual_model,q_axis1_eigenvalue,q_axis1_lat,q_axis1_lon,q_axis2_eigenvalue,q_axis2_lat,q_axis2_lon,q_axis3_eigenvalue,q_axis3_lat,q_axis3_lon
81,0.02619046405798564,0.1634104758618916,0.13722001180390597,0.1389056572192363,36.1376391498634,-148.66672499304917,49.59870479465941,24.05311126194502,-35.26093082585201,-59.83335918752911,4.499408972774253,19.89270006857974,-135.01032485170262,-28.552520234719267,-47.92411635527955,158.61833062019858
81,0.05266133132102546,0.16255814586616046,0.109896814545135,0.11429658053172087,45.54614672845956,-146.75905757687522,42.39157547153488,19.007334207667938,35.77186545106112,119.99068961061128,6.517229786202821,-23.85322246143213,48.56702277706814,-25.524563993870757,44.69948011473087,-15.485411504040671
81,0.013756825958513241,0.12245788336665797,0.10870105740814473,0.10899837882338148,45.78049826425009,-142.3657215333983,52.281702082244216,22.505962261399983,-44.95584224544669,-20.109329051276628,6.828973074959728,1.664873187025836,-108.44631861803391,-29.334935336359717,-44.99579426724427,163.21901330293682
81,0.026281264707907925,0.10514821106065864,0.07886694635275071,0.07980825703498706,49.16723628132081,-159.49885759294696,43.164560681499445,18.369543436329135,45.33631999803786,128.66310729185832,5.76138026803326,-7.947145162774301,46.783223637772124,-24.130923704362395,43.56784249290413,-35.58591961373777
81,0.023186075914989668,0.14895514857921344,0.12576907266422377,0.12551013847056314,72.83342117845004,143.45889860035328,48.41661575543652,26.979347590088377,-57.618709185438206,-24.89181688174851,0.25584271651893753,10.239496634707985,-98.3420010580824,-27.235190306607322,30.34385190470039,-2.272017986309688
81,0.047563063476269485,0.13360597001375962,0.08604290653749014,0.08802722916003192,66.52008547008614,-133.04509951812108,34.12077042878905,21.33644564579107,34.61648983819688,96.2096412505769,-0.9221798382353678,-42.223752395655325,44.99672330450686,-20.414265807555704,28.361972253595304,-15.668908606830474
81,0.031180255944686985,0.11651625469098637,0.08533599874629938,0.08350128749164054,72.41902646028002,-157.09833154785608,35.46796465081601,21.446479253398138,53.42935073811781,128.22626151706308,1.8368049294632058,29.064994317572197,-93.25458054380925,-23.28328418286135,-20.17876368504102,-171.46850745757934
81,0.02566265200200102,0.18743502856573924,0.16177237656373822,0.16457425562860117,39.15910676149574,-139.8978524593779,46.41309428263484,28.760431237990154,40.02674406825715,106.9818615920453,-5.607553853901098,34.31825792731957,-128.03537075290822,-23.152877384089052,31.209959023470468,-13.605947823712059
81,0.05396791467734774,0.09985936740867363,0.04589145273132589,0.04804816311468996,72.56258384858789,-118.26580358203256,41.11117142598834,23.31038338216281,40.97595396255425,99.276810746775,-4.84328625871639,-13.053587455378693,20.89427112607974,-18.46709712344641,-46.088214720737504,124.82993974052347
81,0.030095795621935206,0.10561432331907361,0.0755185276971384,0.07680443743190779,41.312214198528565,-146.91768189451304,41.0099671795034,25.245723864904527,-27.852428360590654,-84.20382452702447,-2.6126875175303512,-9.761006186407187,11.011674816097289,-22.63303634737418,60.197855549550205,-61.509467930583796
