axis_lat,axis_lon,angle_deg,rotated_pole_lat,rotated_pole_lon,r2,rmse,mae,scale_m_per_sigma,intercept_m,spearman,abs_spearman,kendall_tau,abs_kendall_tau,score,source_file,lambda_q,spearman_pred_obs,rotation_only_spearman,intercept,rotation_coeff,quadrupole_coeff_norm,axis_point_M,distance_to_basin_deg,basin_lat,basin_lon,path_m_mean,path_m_median,path_m_min,path_m_max,path_m_std,path_frac_below_threshold,path_integrated_penalty,path_threshold,path_n
60.0,-175.0,25.0,77.57458921298353,105.86815011817671,0.0433261229809949,32.84827656023357,18.412343326532294,6.9904566190598345,20.169867758186392,0.4245870593712793,0.4245870593712793,0.281102322917704,0.281102322917704,0.018395711150459,07_top250_rotation_candidates.csv,,,,,,,0.142163,153.8201736416126,-49.0,46.9888626637867,0.1498928094711045,0.14193268136965628,0.13124827144146206,0.18434919287011275,0.017133051674942803,0.011049723756906077,0.0008076786853867812,0.1314706,181
55.0,-175.0,25.0,75.73727237848574,105.292835885115,0.0430868006262642,32.85238497977783,18.39579329838026,6.971123142006261,20.169867758186392,0.4326165486873912,0.4326165486873912,0.2905631977653617,0.2905631977653617,0.0186400629809161,07_top250_rotation_candidates.csv,,,,,,,0.14331,153.88550286885356,-49.0,46.9888626637867,0.15023259036909486,0.1434831705656066,0.1311586402357667,0.18101419158867363,0.0170046262479855,0.011049723756906077,0.0010993226813080237,0.1314706,181
55.0,-175.0,23.0,76.8674119179605,104.46185952319564,0.0434353514405962,32.846401276944505,18.41208482816011,6.999262809359664,20.169867758186392,0.4239228337631377,0.4239228337631377,0.2798710614392322,0.2798710614392322,0.0184132372681953,07_top250_rotation_candidates.csv,,,,,,,0.14331,153.88550286885356,-49.0,46.9888626637867,0.15023259036909486,0.1434831705656066,0.1311586402357667,0.18101419158867363,0.0170046262479855,0.011049723756906077,0.0010993226813080237,0.1314706,181
20.0,-170.0,19.0,72.15550202557091,103.27572401910096,0.0426727055103994,32.85949249002017,18.372655464329068,6.937543514735982,20.169867758186392,0.4364899137286114,0.4364899137286114,0.2921689662870111,0.2921689662870111,0.0186262055468007,07_top250_rotation_candidates.csv,,,,,,,0.159977,138.63820361786102,-49.0,46.9888626637867,0.1488584055145052,0.15276252012373234,0.1302240107995149,0.1813634611190329,0.013347740735570173,0.016574585635359115,0.004507398051238676,0.1314706,181
20.0,-170.0,15.0,75.90934763373657,102.5781617804621,0.0435477190869171,32.84447198695599,18.41436500871224,7.008310539538801,20.169867758186392,0.431977836066455,0.431977836066455,0.2889140945646186,0.2889140945646186,0.0188116494567963,07_top250_rotation_candidates.csv,,,,,,,0.159977,138.63820361786102,-49.0,46.9888626637867,0.1488584055145052,0.15276252012373234,0.1302240107995149,0.1813634611190329,0.013347740735570173,0.016574585635359115,0.004507398051238676,0.1314706,181
20.0,-170.0,17.0,74.03213279284093,102.92614158908964,0.0431447018177266,32.85139104375028,18.392985191336265,6.975805560016058,20.169867758186392,0.4361383157649749,0.4361383157649749,0.2923379317788905,0.2923379317788905,0.0188170575849653,07_top250_rotation_candidates.csv,,,,,,,0.159977,138.63820361786102,-49.0,46.9888626637867,0.1488584055145052,0.15276252012373234,0.1302240107995149,0.1813634611190329,0.013347740735570173,0.016574585635359115,0.004507398051238676,0.1314706,181
40.0,-170.0,17.0,76.99707466018145,105.48729494038162,0.0432897069547143,32.8489017431449,18.408147372530156,6.987518228223751,20.169867758186392,0.4252929983445406,0.4252929983445406,0.2821944363440399,0.2821944363440399,0.0184108092682269,07_top250_rotation_candidates.csv,,,,,,,0.144825,152.442537894743,-49.0,46.9888626637867,0.15066495324835685,0.1436925578212823,0.13052170236432237,0.18015727341821208,0.015731973963601122,0.027624309392265192,0.005915365639346859,0.1314706,181
5.0,-165.0,13.0,77.04968102068445,105.56893655902591,0.0432851087302708,32.84898068367817,18.40829059406036,6.987147111939565,20.169867758186392,0.4253866224409497,0.4253866224409497,0.2821379819914591,0.2821379819914591,0.0184129062047591,07_top250_rotation_candidates.csv,,,,,,,0.159949,128.32322130327853,-49.0,46.9888626637867,0.14502491939463077,0.14299992966960653,0.13049250119135047,0.18276980626865597,0.011751519170705608,0.03867403314917127,0.006103849661583505,0.1314706,181
5.0,-165.0,15.0,75.05740590215804,105.6573984636521,0.0428814103657737,32.85591048129706,18.387044866516625,6.954487987302992,20.169867758186392,0.4329625300180809,0.4329625300180809,0.2910084715321969,0.2910084715321969,0.0185660439227089,07_top250_rotation_candidates.csv,,,,,,,0.159949,128.32322130327853,-49.0,46.9888626637867,0.14502491939463077,0.14299992966960653,0.13049250119135047,0.18276980626865597,0.011751519170705608,0.03867403314917127,0.006103849661583505,0.1314706,181
50.0,-175.0,21.0,76.54600080067317,103.0807294751296,0.0435854303736406,32.84382447973876,18.417271193255303,7.011344397807089,20.169867758186392,0.427138719373773,0.427138719373773,0.2840021683242181,0.2840021683242181,0.0186170249131515,07_top250_rotation_candidates.csv,,,,,,,0.144855,153.07309966012394,-49.0,46.9888626637867,0.15065026459566094,0.14355948456458623,0.1300320163372432,0.17933773684960147,0.01663193952228295,0.03867403314917127,0.008277276155306823,0.1314706,181
50.0,-175.0,25.0,74.00560058807018,104.63846499278264,0.0428457820441393,32.85652199906785,18.381425817259437,6.951598294300201,20.169867758186392,0.4354357451982477,0.4354357451982477,0.2933521222960303,0.2933521222960303,0.0186565850329915,07_top250_rotation_candidates.csv,,,,,,,0.144855,153.07309966012394,-49.0,46.9888626637867,0.15065026459566094,0.14355948456458623,0.1300320163372432,0.17933773684960147,0.01663193952228295,0.03867403314917127,0.008277276155306823,0.1314706,181
50.0,-175.0,23.0,75.27445506658403,103.8584816398237,0.0432409677300088,32.849738469594165,18.398921856685735,6.983583549998716,20.169867758186392,0.4330882919154802,0.4330882919154802,0.2896523743726659,0.2896523743726659,0.0187271568549619,07_top250_rotation_candidates.csv,,,,,,,0.144855,153.07309966012394,-49.0,46.9888626637867,0.15065026459566094,0.14355948456458623,0.1300320163372432,0.17933773684960147,0.01663193952228295,0.03867403314917127,0.008277276155306823,0.1314706,181
50.0,-175.0,27.0,72.73968093143823,105.42087607397308,0.0424023191853013,32.864132559413754,18.365276172669716,6.91552946908824,20.169867758186392,0.4379535935910664,0.4379535935910664,0.2959919596279817,0.2959919596279817,0.0185702480637981,07_top250_rotation_candidates.csv,,,,,,,0.144855,153.07309966012394,-49.0,46.9888626637867,0.15065026459566094,0.14355948456458623,0.1300320163372432,0.17933773684960147,0.01663193952228295,0.03867403314917127,0.008277276155306823,0.1314706,181
60.0,-180.0,29.0,75.61654342537356,102.6241672715156,0.04349059394377,32.84545280805231,18.41105363231891,7.00371234093433,20.169867758186392,0.4326155730949733,0.4326155730949733,0.2896328936453669,0.2896328936453669,0.0188147082232248,07_top250_rotation_candidates.csv,,,,,,,0.14086,151.3255101116136,-49.0,46.9888626637867,0.14966872041346896,0.14233724653675037,0.12971860210303746,0.18472511542877718,0.01681997057551241,0.04419889502762431,0.011962549225797758,0.1314706,181
60.0,-180.0,33.0,73.67192342085595,104.38774657246712,0.0428182720856527,32.856994167003094,18.37958543249104,6.94936623225973,20.169867758186392,0.4361922726370141,0.4361922726370141,0.2932745969526974,0.2932745969526974,0.0186769994114308,07_top250_rotation_candidates.csv,,,,,,,0.14086,151.3255101116136,-49.0,46.9888626637867,0.14966872041346896,0.14233724653675037,0.12971860210303746,0.18472511542877718,0.01681997057551241,0.04419889502762431,0.011962549225797758,0.1314706,181
