metric,observed_median,observed_mean,random_median,random_mean,observed_p10,observed_p90,random_p10,random_p90,empirical_p_high,empirical_p_low
axis_point_M,0.137102,0.13855138133333333,0.1400658654430764,0.14099274897103345,0.127247,0.1536998,0.12563059841787189,0.15936875445399656,0.5692430756924307,0.43085691430856915
distance_to_basin_deg,114.95077593925102,110.57470463758571,89.60759430472878,89.66692573506273,72.5986881029634,143.09732821190062,36.3284416816973,142.468628291539,0.28677132286771323,0.7133286671332867
path_m_mean,0.14363164262390443,0.1433937492293784,0.145701853956678,0.14591920419054621,0.13770425313634907,0.1489811333189763,0.138477964452626,0.15311277287808692,0.6002399760023998,0.39986001399860016
path_m_min,0.1271870302926857,0.12548557386135373,0.12426345368888325,0.12600033999892327,0.11947465312146868,0.12971860210303746,0.11876560092191733,0.13782432162339223,0.4183581641835816,0.5817418258174183
path_frac_below_threshold,0.20441988950276244,0.22774217311233882,0.19337016574585636,0.18476574585635358,0.11602209944751381,0.35911602209944754,0.0,0.36464088397790057,0.4674532546745325,0.5484451554844516
path_integrated_penalty,0.12343198428627544,0.22620467112088716,0.2133508835940999,0.3456412196346689,0.032310782267036486,0.5819575242928967,0.0,0.7862679243661825,0.5795420457954205,0.42055794420557946
