name,axis_lat,axis_lon,angle_deg,rotated_pole_lat,rotated_pole_lon,r2,rmse,mae,scale_m_per_sigma,intercept_m,spearman,abs_spearman,kendall_tau,abs_kendall_tau,score
return_eighth_13_axis_31E,0.0,31.0,13.0,77.0,-59.00000000000001,0.041048230206512715,32.88736007973789,18.638197559506313,-6.804212203202527,20.169867758186392,-0.3690937987711273,0.3690937987711273,-0.24313875863637294,0.24313875863637294,0.015150647219753514
return_quarter_26_axis_31E,0.0,31.0,26.0,64.00000000000001,-59.00000000000001,0.038012966760200495,32.93936631252479,18.885057016428313,-6.547816708633066,20.169867758186392,-0.3206451739645765,0.3206451739645765,-0.21375188272284112,0.21375188272284112,0.01218867433973415
observed_l1_axis_77E_26deg,0.0,77.0,26.0,64.00000000000001,-12.999999999999995,0.012881321024481696,33.36685821324057,19.021206628658557,-3.8116308449334086,20.169867758186392,-0.3168315766478351,0.3168315766478351,-0.21605180124171747,0.21605180124171747,0.004081209249493442
observed_l1_axis_77E_52deg,0.0,77.0,52.0,38.0,-12.999999999999996,0.01291060008352729,33.36636336015093,19.12878325082654,-3.8159602774301393,20.169867758186392,-0.2860274657433161,0.2860274657433161,-0.19184878661904622,0.19184878661904622,0.0036927862231167564
return_half_52_axis_31E,0.0,31.0,52.0,38.0,-59.00000000000001,0.020913371970166295,33.23083013534446,19.65405380292171,-4.856715478224954,20.169867758186392,-0.17391540531226748,0.17391540531226748,-0.1126850743637008,0.1126850743637008,0.003637157562637685
ECDO_104_axis_31E_equatorial,0.0,31.0,104.0,-14.000000000000004,-59.00000000000001,0.006517711138410154,33.47423768121131,18.972239623181817,2.711303815938094,20.169867758186392,0.31753402004480774,0.31753402004480774,0.2145398582637941,0.2145398582637941,0.0020695950192701966
ECDO_104_axis_149W_equatorial,0.0,-149.0,104.0,-14.000000000000004,121.0,0.0019985963377785465,33.550284475153056,19.966280915012387,-1.501388809353227,20.169867758186392,0.11680149841620048,0.11680149841620048,0.08885855461352324,0.08885855461352324,0.00023343904698166498
observed_l1_axis_77E_104deg,0.0,77.0,104.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,33.58290292783399,19.761263514451034,-0.25374723688375894,20.169867758186392,0.15105225728044244,0.15105225728044244,0.0923046555161369,0.0923046555161369,8.623202830808905e-06
