id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
7ae29783672ac20476dd6091fcf3c6914508f617e9cc7cdd3165ad53cb3153f9,yen2021,sea_level_indicator,Narrative evidence locality,narrative_fallback_1,,,inferred_map,,-0.0,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-2.5, 2.5]",2.5,stratigraphic_context,"submerged beach at Narrative evidence locality, reported around 0 m depth",Narrative evidence locality,Late Pleistocene-Holocene sedimentary evolution in the coastal zone of the Red River Delta,https://doi.org/10.1016/j.heliyon.2020.e05872,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""marshy mud \ufb02ats along the tidal coast. - Modern sand bar facies: The modern sand bars of the Red River Delta include the Den, Vanh, Lu, Ngan, Thoi, and Mo Sand bars. These sand bar systems mark the 5th generation of the shoreline since the last ~2.5 Ka. compared to the previous ancient sand bars. It is demonstrated by a high concentration of quartz (Q reaches over 90%), very poor sortness (So: 1.2\u20131.3), and good roundness (Ro: 0.5\u20130.9). - Coastal shallow water sandy mud facies: The coastal shallow water sandy mud facies are distributed from a depth of 0m\u201315m, creating a submarine, \ufb02at, fan-shaped plain, tilting seaward at an angle of ~0.51o. Characteristics of the sediment properties are poor sortness (So: 2.3\u20132.7), relatively low sand/mud ratio (1/9 - 4/6), and quite high acid-alkaline in""}","{""reported_elevation_m"": null, ""reported_depth_m"": 0.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 2.5, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-0,-0,0,0
0e0ef6259e4bc70e12a880c885193c87e1ed49f8b81ea88ea7a0d6de2557a799,yen2021,sea_level_indicator,Narrative evidence locality,narrative_fallback_2,,,inferred_map,,-100.0,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-102.5, -97.5]",18.0,stratigraphic_context,"submerged beach at Narrative evidence locality, reported around 100 m depth",Narrative evidence locality,Late Pleistocene-Holocene sedimentary evolution in the coastal zone of the Red River Delta,https://doi.org/10.1016/j.heliyon.2020.e05872,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""- The Transgressive alluvial facies group (at) started in the transgressive phase and is situated at a depth of 100 m, where is coeval with the paleo-shoreline of the W\u00fcrm 2 Glaciation (18 Ka.) and the rate of sea level rise at that time was estimated at ~5 mm/year (Nghi, 2018). 8""}","{""reported_elevation_m"": null, ""reported_depth_m"": 100.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 18.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-100,-100,-100,-100
