id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
fdabec7722faaf38a74915ddb065b7a5b5b1cc2119b3209eb1a17902de9b09f8,forbes2014,sea_level_indicator,"Point Deroche, Savage Harbour, Queen's County, Queens County, Prince Edward Island, Canada",page_8_feature_1,46.4314095,-62.9039822,inferred_text,10000.0,3.0,MSL,SRTM15+V2,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,"Point Deroche, Savage Harbour, Queen's County, Queens County, Prince Edward Island, Canada",Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,https://doi.org/10.1144/SP388.18,0.7,Extracted from page OCR block on page 8 with cue 'Fig. 6. North Shore of Prince Edward Island. (a) Beach and linear foredune near Point Deroche (in distance) with nearsho' from source 'mineru_image'. Place name geocoded from query 'Point Deroche'.,"{""page"": ""8"", ""figure"": ""Fig. 6. North Shore of Prince Edward Island. (a) Beach and linear foredune near Point Deroche (in distance) with nearsho"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig. 6. North Shore of Prince Edward Island. (a) Beach and linear foredune near Point Deroche (in distance) with nearshore ice complex protecting the beach from waves in open water to seaward (at left); note icefoot with windblown sand at base of beach; exceptional year with no snow cover (March 2000). (b) Tidal inlet at North Rustico, looking into the estuary, with nearshore ice complex in foreground over ebb delta; note groyne confining channel at right, narrow inlet throat and flood delta beyond (March 2000). (c) Foredune growth with sand accumulation and new ridge to seaward, Point Deroche; note surveyor for scale (July 1999). (d) Lag gravel and boulders on erosional profile at base of till cliff underlying high perched dune following a major storm, Brackley Beach; note figure on beach""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 3.0, ""applied_correction_m"": null, ""derived_elevation_m"": 3.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",3,3,3,3
095c2a5722a1cbcb900503ede61e4cb22dd7a2e516b6e5b7b2779dda999f68f2,forbes2014,sea_level_indicator,"Brackley Beach, Queens County, Prince Edward Island, C1E 1Z3, Canada",page_11_feature_1,46.4240447,-63.1920774,inferred_text,10000.0,1.0,MSL,SRTM15+V2,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,"Brackley Beach, Queens County, Prince Edward Island, C1E 1Z3, Canada",Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,https://doi.org/10.1144/SP388.18,0.7,"Extracted from page OCR block on page 11 with cue 'Fig. 9. Shaded-relief topographic LiDAR digital surface model (including vegetation) onshore, greyscale shaded-relief ac' from source 'mineru_image'. Place name geocoded from query 'Brackley Beach'.","{""page"": ""11"", ""figure"": ""Fig. 9. Shaded-relief topographic LiDAR digital surface model (including vegetation) onshore, greyscale shaded-relief ac"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig. 9. Shaded-relief topographic LiDAR digital surface model (including vegetation) onshore, greyscale shaded-relief acoustic bathymetry (sweep surveys) in the nearshore, and multibeam backscatter over shaded-relief bathymetry in deeper water off Brackley Beach, PEI. White box shows location of Brackley Beach profiles in later figures. White line a\u2013a\u2032 indicates location of sub-bottom profile in Figure 13. As in Figure 7, dark surface denotes sand and brighter, rougher surfaces are lag gravel over till or sandstone. Note complex morphology of the nearshore bar system, rough surfaces in troughs (lag gravel over till) and off small rock headland at left, and smooth shoreface to seaward. Anomalous depressions on crest and seaward side of low outer bar are typical of sea-ice grounding and wall""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 1.0, ""applied_correction_m"": null, ""derived_elevation_m"": 1.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",1,1,1,1
b539b81f54187426a30a6c2f8451620e7aa525fa1bb6949c041df365b93b88f5,forbes2014,sea_level_indicator,"Hutchinson Cove, East Sooke, Sooke, Capital Regional District, British Columbia, Canada",page_19_feature_1,48.3874502,-123.6380006,inferred_text,10000.0,18.0,MSL,SRTM15+V2,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,"Hutchinson Cove, East Sooke, Sooke, Capital Regional District, British Columbia, Canada",Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,https://doi.org/10.1144/SP388.18,0.7,"Extracted from page OCR block on page 19 with cue 'Fig. 17. Beaches, dunes and other low-lying shores of the Tuktoyaktuk Peninsula. (a) Looking north along the eastern sho' from source 'mineru_image'. Place name geocoded from query 'Hutchinson Bay'.","{""page"": ""19"", ""figure"": ""Fig. 17. Beaches, dunes and other low-lying shores of the Tuktoyaktuk Peninsula. (a) Looking north along the eastern sho"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig. 17. Beaches, dunes and other low-lying shores of the Tuktoyaktuk Peninsula. (a) Looking north along the eastern shore of Kugmallit Bay toward Tuktoyaktuk, from near position of (b) (image credit: D. L. Forbes, July 1996). (b) Thin, sediment-starved, transgressive barrier moving landward over supratidal flats on the margins of breached-lake lagoons immediately southwest of Tuktoyaktuk; note peat exposed in foreshore (image credit: D. L. Forbes, July 1996). (c) Transgressive dunes in Hutchinson Bay, Tuktoyaktuk Peninsula (image credit: D. J. R. Whalen, August 2013). (d) Atkinson Point looking NE, showing eastern spit almost awash, dunes at point, exposed peat in foreshore, and entire shore-zone sand system moving landward over partially flooded tundra at right (image credit: D. L. Forbe""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 18.0, ""applied_correction_m"": null, ""derived_elevation_m"": 18.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",18,18,18,18
39bba6c185005c1a77195f419a892fb9702f7a6897ab2a75abdf00c8158824e6,forbes2014,sea_level_indicator,"Tuktoyaktuk, Inuvialuit Settlement Region, Inuvik Region, Northwest Territories, Canada",page_24_feature_1,69.4440189,-133.031904,inferred_text,10000.0,1.0,MSL,SRTM15+V2,submerged_beach,page OCR extracted from figure/table/map block,null,null,other,Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,"Tuktoyaktuk, Inuvialuit Settlement Region, Inuvik Region, Northwest Territories, Canada",Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,https://doi.org/10.1144/SP388.18,0.7,Extracted from page OCR block on page 24 with cue 'Fig. 23. StrataboxTM sub-bottom profiles of shoreface transects near Tuktoyaktuk: (a) in vicinity of starved transgressi' from source 'mineru_chart'. Place name geocoded from query 'Tuktoyaktuk'.,"{""page"": ""24"", ""figure"": ""Fig. 23. StrataboxTM sub-bottom profiles of shoreface transects near Tuktoyaktuk: (a) in vicinity of starved transgressi"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Fig. 23. StrataboxTM sub-bottom profiles of shoreface transects near Tuktoyaktuk: (a) in vicinity of starved transgressive barrier to the southwest (b\u2013 b\u2032 in Fig. 20); (b) off Tuktoyaktuk Island $( \\mathsf { c } - \\mathsf { c ^ { \\prime } }$ in Fig. 20). To the SW (a), the TU is at the seabed in depths less than 4 m, but buried by deltaic-marine mud to a depth of about 4 m further seaward; note 2 m terrace and interpreted occurrence of submarine permafrost (pf). Off Tuktoyaktuk Island, the nearshore slope is very steep, dropping into a submerged thermokarst lake basin, the fill of which has not been truncated by the TU. Rough surface to seaward results from incomplete TU planation of coarse ice-contact or proglacial sediments. Small basins in this region are partially infilled. Where the T""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": 1.0, ""applied_correction_m"": null, ""derived_elevation_m"": 1.0, ""derived_depth_m"": null, ""derivation_notes"": ""Elevation sampled from SRTM15+V2 at inferred coordinates because source elevation was not reported. Treat this as approximate spatial context, not a surveyed sample elevation.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""No direct age model extracted from page OCR block.""}]",1,1,1,1
bda0e39f3e1144af45d23aa9c7361625137b114a527fdb34f3a2dc51a1a4a73f,forbes2014,sea_level_indicator,central North Shore of Prince Edward Island,mineru_llm_3_1,,,inferred_map,,null,unknown,other,marine_over_terrestrial_contact,llm-extracted candidate,null,"""9""",lowstand coast,Postglacial lowstand coast stood near the outer edge of the mosaic. Flooded-valley estuaries and their former seaward extensions across the inner shelf are visible.,central North Shore of Prince Edward Island,"Forbes et al. 1999b, 2004; Forbes & Manson 2002; Webster et al. 2002",https://doi.org/10.1144/SP388.18,0.52,Depicts coastal topography and bathymetry from airborne topographic LiDAR and multibeam sounding. No contextual geocode result was found.,"{""page"": ""9"", ""figure"": ""Fig. 7"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Postglacial lowstand coast (c. 9 ka) stood near the outer edge of the mosaic.""}","{""reported_elevation_m"": null, ""reported_depth_m"": null, ""reported_datum"": null, ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""No coordinates available for DEM elevation sampling.""}","[{""method"": ""lowstand coast"", ""relation"": ""unknown"", ""age_ka"": ""9"", ""uncertainty_ka"": null, ""material"": null, ""notes"": ""LLM-assisted extraction; raw BP-like numeric ages are normalized to ka.""}]",,,,
4c1945c4159a4fce3f7e3d2e860312a5f63b528e2864ad603faa84b24b036f33,forbes2014,sea_level_indicator,The transgressive unconformity and subsequent erosion and sedimentation,narrative_fallback_1,,,inferred_map,,-20.0,MSL,reported,submerged_beach,narrative fallback: submerged geomorphic sea-level feature,"[-22.5, -17.5]",null,other,"submerged beach at The transgressive unconformity and subsequent erosion and sedimentation, reported around 20 m depth",The transgressive unconformity and subsequent erosion and sedimentation,Coastal products of marine transgression in cold-temperate and high-latitude coastal-plain settings: Gulf of St Lawrence and Beaufort Sea,https://doi.org/10.1144/SP388.18,0.55,Narrative fallback cluster from prose description of submerged palaeolandscape; depth uncertainty widened pending human review.,"{""page"": null, ""figure"": null, ""table"": null, ""section"": ""The transgressive unconformity and subsequent erosion and sedimentation"", ""quote_or_paraphrase"": ""and inundated-valley estuaries. Wave quarrying of pits in exposed estuarine sediments at depths of 20 m or more confirms the ongoing deepening of the transgressive unconformity as much as 3 km seaward of the present-day shoreline and 6000 years after the shoreline migrated landward past the point of erosion (Figs 12 & 25a). Pit formation of this kind has not been widely described in the literature, but is known from the Atlantic coast of Nova Scotia (Forbes et al. 1991b). There, as in this study, wave quarrying of cohesive sediments is assumed to begin where the TU becomes exposed at the seabed. Although ice scour penetrating through the TU could be a mechanism for initiation, the depth at which these features are currently encountered would seem to eliminate ice as a plausible trigger.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 20.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""other"", ""relation"": ""unknown"", ""age_ka"": null, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Narrative fallback age context; review before analytical use.""}]",-20,-20,-20,-20
