id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
375c7099ec7b5229a74f4b94dab70a6c455a029a0a3ac130af869db170e9afc6,hovland1981,sea_level_indicator,Hovland IA,Hovland IA,61.2980758597294,2.00849577453861,inferred_map,1000.0,-158.0,MSL,reported,submerged_beach,manual map geocode: submerged beach,"[-160.5, -155.5]",12.0,stratigraphic_context,Manually geocoded from original paper map; submerged beach Location I northern segment.,"North Sea, Norwegian Trench",A SUBMERGED BEACH BETWEEN NORWAY AND EKOFISK IN THE NORTH SEA,https://doi.org/10.1016/0025-3227(81)90123-7,0.92,Coordinate manually geocoded from source map in Fig. 1; depth from manual map geocode file.,"{""page"": null, ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Manually geocoded from original paper map; submerged beach Location I northern segment.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 158.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 12.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age retained from manual map geocode file/source interpretation.""}]",-158,-158,-158,-158
22da5c93c50e69b508feb3a72662a84765d4455191a1239b79e6510e3b553b91,hovland1981,sea_level_indicator,Hovland IB,Hovland IB,61.2515381721722,2.09206195668655,inferred_map,1000.0,-150.0,MSL,reported,submerged_beach,manual map geocode: submerged beach,"[-152.5, -147.5]",12.0,stratigraphic_context,Manually geocoded from original paper map; submerged beach Location I segment.,"North Sea, Norwegian Trench",A SUBMERGED BEACH BETWEEN NORWAY AND EKOFISK IN THE NORTH SEA,https://doi.org/10.1016/0025-3227(81)90123-7,0.92,Coordinate manually geocoded from source map in Fig. 1; depth from manual map geocode file.,"{""page"": null, ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Manually geocoded from original paper map; submerged beach Location I segment.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 150.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 12.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age retained from manual map geocode file/source interpretation.""}]",-150,-150,-150,-150
3c3c91bafe2cfbf3ec1d68c9061bc4850f38bd668f088b3d8e6258ff7149c2b3,hovland1981,sea_level_indicator,Hovland IC,Hovland IC,61.1716900657302,2.20480998021948,inferred_map,1000.0,-145.0,MSL,reported,submerged_beach,manual map geocode: submerged beach,"[-147.5, -142.5]",12.0,stratigraphic_context,Manually geocoded from original paper map; submerged beach Location I segment.,"North Sea, Norwegian Trench",A SUBMERGED BEACH BETWEEN NORWAY AND EKOFISK IN THE NORTH SEA,https://doi.org/10.1016/0025-3227(81)90123-7,0.92,Coordinate manually geocoded from source map in Fig. 1; depth from manual map geocode file.,"{""page"": null, ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Manually geocoded from original paper map; submerged beach Location I segment.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 145.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 12.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age retained from manual map geocode file/source interpretation.""}]",-145,-145,-145,-145
9384a1aaddfdb55b9191ef5a1e084dcf47aafde8632a430a2ba925e5938af77c,hovland1981,sea_level_indicator,Hovland ID,Hovland ID,61.0068852013966,2.47872135503773,inferred_map,1000.0,-136.0,MSL,reported,submerged_beach,manual map geocode: submerged beach,"[-138.5, -133.5]",12.0,stratigraphic_context,Manually geocoded from original paper map; submerged beach Location I segment.,"North Sea, Norwegian Trench",A SUBMERGED BEACH BETWEEN NORWAY AND EKOFISK IN THE NORTH SEA,https://doi.org/10.1016/0025-3227(81)90123-7,0.92,Coordinate manually geocoded from source map in Fig. 1; depth from manual map geocode file.,"{""page"": null, ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Manually geocoded from original paper map; submerged beach Location I segment.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 136.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 12.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age retained from manual map geocode file/source interpretation.""}]",-136,-136,-136,-136
9b944b892b37b22cebcb0cf4a02cf68a152c5db80dbc0a8a5f6de8dfbcb9d41c,hovland1981,sea_level_indicator,Hovland IE,Hovland IE,60.8088897520742,2.76125463753791,inferred_map,1000.0,-132.0,MSL,reported,submerged_beach,manual map geocode: submerged beach,"[-134.5, -129.5]",12.0,stratigraphic_context,Manually geocoded from original paper map; submerged beach Location I southern segment.,"North Sea, Norwegian Trench",A SUBMERGED BEACH BETWEEN NORWAY AND EKOFISK IN THE NORTH SEA,https://doi.org/10.1016/0025-3227(81)90123-7,0.92,Coordinate manually geocoded from source map in Fig. 1; depth from manual map geocode file.,"{""page"": null, ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Manually geocoded from original paper map; submerged beach Location I southern segment.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 132.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 12.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age retained from manual map geocode file/source interpretation.""}]",-132,-132,-132,-132
2ceabd2a705b024edf5df6c6078faa7987b7333397fcc5aa5e25083dc024c5fb,hovland1981,sea_level_indicator,Hovland II,Hovland II,58.1346078950472,4.0141023439074,inferred_map,1000.0,-89.0,MSL,reported,submerged_beach,manual map geocode: submerged beach,"[-91.5, -86.5]",12.0,stratigraphic_context,Manually geocoded from original paper map; submerged beach Location II.,"North Sea, Norwegian Trench",A SUBMERGED BEACH BETWEEN NORWAY AND EKOFISK IN THE NORTH SEA,https://doi.org/10.1016/0025-3227(81)90123-7,0.92,Coordinate manually geocoded from source map in Fig. 1; depth from manual map geocode file.,"{""page"": null, ""figure"": ""Fig. 1"", ""table"": null, ""section"": null, ""quote_or_paraphrase"": ""Manually geocoded from original paper map; submerged beach Location II.""}","{""reported_elevation_m"": null, ""reported_depth_m"": 89.0, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Existing elevation preserved; no raster overwrite applied.""}","[{""method"": ""stratigraphic_context"", ""relation"": ""unknown"", ""age_ka"": 12.0, ""uncertainty_ka"": null, ""material"": null, ""notes"": ""Age retained from manual map geocode file/source interpretation.""}]",-89,-89,-89,-89
