id,source_id,record_class,site_name,sample_id,latitude,longitude,coordinate_source,coordinate_uncertainty_m,elevation_m,elevation_reference,depth_source,indicator_type,indicator_subtype,indicative_range_m,age_ka,dating_method,description,location_name,bibliographic_reference,doi_or_url,confidence_score,notes,source_locator,reported_observations,derived_observations,age_models,elevation_min,elevation_max,elevation_avg,elevation_mean
92fff0732ea515be5af277e187c57085e469315cec653b16a8b4804a289bfa36,taira1975,sea_level_indicator,Haikou,N-606,,,inferred_map,,10.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[4.0, 10.5]",5.39,radiocarbon,coral from Haikou dated to 5390±130 at 10 m altitude.,"Haikou, Hengchun area",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-606 | coral | Haikou | 5390\u00b1130 | 10""}","{""reported_elevation_m"": 10.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 5.39, ""uncertainty_ka"": 0.13, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",10,10,10,10
eb9532a8d762aec4d4a8ca50e94417df985ec7f69a1d416478ff9a8eb7fd688b,taira1975,sea_level_indicator,Haikou,N-575,,,inferred_map,,1.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[-5.0, 1.5]",1.47,radiocarbon,coral from Haikou dated to 1470±105 at 1 m altitude.,"Haikou, Hengchun area",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-575 | coral | Haikou | 1470\u00b1105 | 1""}","{""reported_elevation_m"": 1.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 1.47, ""uncertainty_ka"": 0.105, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",1,1,1,1
d697b51bf05da17053afadc1e1ba7d93aa2a44ecb63c87abe2cdd01a1979ed79,taira1975,marine_limiting,Shenkengtzu,N-1628,,,inferred_map,,30.0,MSL,reported,marine_shell_bed,MinerU dated altitude table; material=mollusca,"[25.0, 32.0]",7.68,radiocarbon,mollusca from Shenkengtzu dated to 7680±110 at 30 m altitude.,"Shenkengtzu, Tainan area (central Taiwan)",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-1628 | mollusca | Shenkengtzu | 7680\u00b1110 | 30""}","{""reported_elevation_m"": 30.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 7.68, ""uncertainty_ka"": 0.11, ""material"": ""mollusca"", ""notes"": ""Age extracted from MinerU structured table.""}]",30,30,30,30
22ebd89f4babec75b3981b3aa1d13d072a11e56f2204e7446c03eef598423d0a,taira1975,marine_limiting,Hutoupi,N-1629,,,inferred_map,,30.0,MSL,reported,marine_shell_bed,MinerU dated altitude table; material=mollusca,"[25.0, 32.0]",7.58,radiocarbon,mollusca from Hutoupi dated to 7580±145 at 30 m altitude.,"Hutoupi, Tainan area (central Taiwan)",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-1629 | mollusca | Hutoupi | 7580\u00b1145 | 30""}","{""reported_elevation_m"": 30.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 7.58, ""uncertainty_ka"": 0.145, ""material"": ""mollusca"", ""notes"": ""Age extracted from MinerU structured table.""}]",30,30,30,30
85cc0c7ab3306f6d70a6770c6b08ccd690f32fba7e612b41908ab036b017ca08,taira1975,marine_limiting,Akungtien,N-604,,,inferred_map,,15.0,MSL,reported,marine_shell_bed,MinerU dated altitude table; material=Ostrea,"[10.0, 17.0]",7.29,radiocarbon,Ostrea from Akungtien dated to 7290±145 at 15 m altitude.,"Akungtien, Tainan area (central Taiwan)",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-604 | Ostrea | Akungtien | 7290\u00b1145 | 15""}","{""reported_elevation_m"": 15.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 7.29, ""uncertainty_ka"": 0.145, ""material"": ""Ostrea"", ""notes"": ""Age extracted from MinerU structured table.""}]",15,15,15,15
e93676fa3a756f831ee57efd069518a6d4d7965490c9afbdb108646d81b79120,taira1975,sea_level_indicator,Akungtien,N-574,,,inferred_map,,14.3,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[8.3, 14.8]",5.67,radiocarbon,coral from Akungtien dated to 5670±130 at 14.3 m altitude.,"Akungtien, Tainan area (central Taiwan)",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-574 | coral | Akungtien | 5670\u00b1130 | 14.3""}","{""reported_elevation_m"": 14.3, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 5.67, ""uncertainty_ka"": 0.13, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",14.3,14.3,14.3,14.3
e012c0b3f3a6d48f6d9302933156b77f6f1dc8e3d07d26b0c6780923945be1d7,taira1975,sea_level_indicator,Akungtien,N-578,,,inferred_map,,14.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[8.0, 14.5]",6.01,radiocarbon,coral from Akungtien dated to 6010±135 at 14 m altitude.,"Akungtien, Tainan area (central Taiwan)",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-578 | coral | Akungtien | 6010\u00b1135 | 14""}","{""reported_elevation_m"": 14.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 6.01, ""uncertainty_ka"": 0.135, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",14,14,14,14
021d17690b4c8e6ef9b5b9630346ffaedc7dcd1b2e0c89518e070636832405d8,taira1975,sea_level_indicator,Akungtien,N-580,,,inferred_map,,13.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[7.0, 13.5]",5.57,radiocarbon,coral from Akungtien dated to 5570±135 at 13 m altitude.,"Akungtien, Tainan area (central Taiwan)",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-580 | coral | Akungtien | 5570\u00b1135 | 13""}","{""reported_elevation_m"": 13.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 5.57, ""uncertainty_ka"": 0.135, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",13,13,13,13
9e11973cfdfaf2eda383d5f7997b3d4976068ab19731df7ac203ad7a426fab76,taira1975,sea_level_indicator,Akungtien,N-563,,,inferred_map,,12.0,MSL,reported,coral_reef,MinerU dated altitude table; material=coral,"[6.0, 12.5]",6.0,radiocarbon,coral from Akungtien dated to 6000±130 at 12 m altitude.,"Akungtien, Tainan area (central Taiwan)",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.55,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. No contextual geocode result was found.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-563 | coral | Akungtien | 6000\u00b1130 | 12""}","{""reported_elevation_m"": 12.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 6.0, ""uncertainty_ka"": 0.13, ""material"": ""coral"", ""notes"": ""Age extracted from MinerU structured table.""}]",12,12,12,12
c7d589d485502b405fa5c00118bfcd9622e70e23927ee0daa6713b6001c1e344,taira1975,marine_limiting,Lungkang,N-576,-4.5346639,103.2513047,inferred_text,10000.0,2.0,MSL,reported,marine_over_terrestrial_contact,MinerU dated altitude table; material=wood,"[-2.0, 6.0]",7.39,radiocarbon,wood from Lungkang dated to 7390±140 at 2 m altitude.,"Lungkang Kule, Bengkulu, Sumatera, Indonesia",Letter Section,https://doi.org/10.1016/0040-1951(75)90057-8,0.88,Extracted from MinerU sample table with age and altitude fields. Vertical datum is reported as altitude relative to present sea level when stated by source context. Geocoded from contextual query 'Lungkang'.,"{""page"": ""2"", ""figure"": null, ""table"": ""TABLE I  Radiocarbon dates of coral, wood, and marine mollusca from Taiwan"", ""section"": null, ""quote_or_paraphrase"": ""N-576 | wood | Lungkang | 7390\u00b1140 | 2""}","{""reported_elevation_m"": 2.0, ""reported_depth_m"": null, ""reported_datum"": ""MSL"", ""reported_uncertainty_m"": null}","{""raw_raster_value_m"": null, ""applied_correction_m"": null, ""derived_elevation_m"": null, ""derived_depth_m"": null, ""derivation_notes"": ""Reported elevation preserved; no raster overwrite applied.""}","[{""method"": ""radiocarbon"", ""relation"": ""unknown"", ""age_ka"": 7.39, ""uncertainty_ka"": 0.14, ""material"": ""wood"", ""notes"": ""Age extracted from MinerU structured table.""}]",2,2,2,2
